x,theta
0.141671,-0.960889
0.142159,-0.960860
0.142648,-0.960832
0.143136,-0.960803
0.143625,-0.960774
0.144113,-0.960745
0.144602,-0.960717
0.145090,-0.960688
0.145579,-0.960659
0.146067,-0.960630
0.146556,-0.960602
0.147044,-0.960573
0.147533,-0.960544
0.148021,-0.960515
0.148510,-0.960487
0.148999,-0.960458
0.149487,-0.960429
0.149976,-0.960400
0.150464,-0.960372
0.150953,-0.960343
0.151441,-0.960314
0.151930,-0.960285
0.152418,-0.960257
0.152907,-0.960228
0.153395,-0.960199
0.153884,-0.960171
0.154372,-0.960142
0.154861,-0.960113
0.155349,-0.960084
0.155838,-0.960056
0.156326,-0.960027
0.156815,-0.959998
0.157303,-0.959969
0.157792,-0.959940
0.158280,-0.959912
0.158769,-0.959883
0.159257,-0.959854
0.159746,-0.959826
0.160234,-0.959797
0.160723,-0.959768
0.161212,-0.959739
0.161700,-0.959711
0.162189,-0.959682
0.162677,-0.959653
0.163166,-0.959624
0.163654,-0.959596
0.164143,-0.959567
0.164631,-0.959538
0.165120,-0.959509
0.165608,-0.959481
0.166097,-0.959452
0.166585,-0.959423
0.167074,-0.959390
0.167562,-0.959355
0.168051,-0.959321
0.168539,-0.959286
0.169028,-0.959252
0.169516,-0.959218
0.170005,-0.959183
0.170493,-0.959149
0.170982,-0.959115
0.171470,-0.959080
0.171959,-0.959046
0.172447,-0.959011
0.172936,-0.958977
0.173425,-0.958943
0.173913,-0.958908
0.174402,-0.958874
0.174890,-0.958839
0.175379,-0.958805
0.175867,-0.958771
0.176356,-0.958736
0.176844,-0.958702
0.177333,-0.958668
0.177821,-0.958633
0.178310,-0.958599
0.178798,-0.958564
0.179287,-0.958530
0.179775,-0.958496
0.180264,-0.958461
0.180752,-0.958427
0.181241,-0.958393
0.181729,-0.958358
0.182218,-0.958324
0.182706,-0.958289
0.183195,-0.958255
0.183683,-0.958221
0.184172,-0.958186
0.184660,-0.958152
0.185149,-0.958117
0.185638,-0.958083
0.186126,-0.958049
0.186615,-0.958014
0.187103,-0.957980
0.187592,-0.957946
0.188080,-0.957911
0.188569,-0.957877
0.189057,-0.957842
0.189546,-0.957808
0.190034,-0.957774
0.190523,-0.957739
0.191011,-0.957705
0.191500,-0.957670
0.191988,-0.957636
0.192477,-0.957602
0.192965,-0.957567
0.193454,-0.957533
0.193942,-0.957499
0.194431,-0.957464
0.194919,-0.957430
0.195408,-0.957395
0.195896,-0.957361
0.196385,-0.957327
0.196873,-0.957292
0.197362,-0.957258
0.197851,-0.957223
0.198339,-0.957189
0.198828,-0.957155
0.199316,-0.957120
0.199805,-0.957086
0.200293,-0.957062
0.200782,-0.957044
0.201270,-0.957027
0.201759,-0.957009
0.202247,-0.956992
0.202736,-0.956974
0.203224,-0.956957
0.203713,-0.956939
0.204201,-0.956921
0.204690,-0.956904
0.205178,-0.956886
0.205667,-0.956869
0.206155,-0.956851
0.206644,-0.956834
0.207132,-0.956816
0.207621,-0.956799
0.208109,-0.956781
0.208598,-0.956764
0.209086,-0.956746
0.209575,-0.956729
0.210064,-0.956711
0.210552,-0.956694
0.211041,-0.956676
0.211529,-0.956658
0.212018,-0.956641
0.212506,-0.956623
0.212995,-0.956606
0.213483,-0.956588
0.213972,-0.956571
0.214460,-0.956553
0.214949,-0.956536
0.215437,-0.956518
0.215926,-0.956501
0.216414,-0.956483
0.216903,-0.956466
0.217391,-0.956448
0.217880,-0.956431
0.218368,-0.956413
0.218857,-0.956396
0.219345,-0.956378
0.219834,-0.956361
0.220322,-0.956343
0.220811,-0.956325
0.221299,-0.956308
0.221788,-0.956290
0.222277,-0.956273
0.222765,-0.956255
0.223254,-0.956238
0.223742,-0.956220
0.224231,-0.956203
0.224719,-0.956185
0.225208,-0.956168
0.225696,-0.956150
0.226185,-0.956133
0.226673,-0.956115
0.227162,-0.956098
0.227650,-0.956080
0.228139,-0.956063
0.228627,-0.956045
0.229116,-0.956027
0.229604,-0.956010
0.230093,-0.955992
0.230581,-0.955975
0.231070,-0.955957
0.231558,-0.955940
0.232047,-0.955922
0.232535,-0.955905
0.233024,-0.955887
0.233512,-0.955902
0.234001,-0.955971
0.234489,-0.956041
0.234978,-0.956111
0.235467,-0.956181
0.235955,-0.956250
0.236444,-0.956320
0.236932,-0.956390
0.237421,-0.956460
0.237909,-0.956529
0.238398,-0.956599
0.238886,-0.956669
0.239375,-0.956739
0.239863,-0.956808
0.240352,-0.956878
0.240840,-0.956948
0.241329,-0.957017
0.241817,-0.957087
0.242306,-0.957157
0.242794,-0.957227
0.243283,-0.957296
0.243771,-0.957366
0.244260,-0.957436
0.244748,-0.957506
