x,theta
0.000000,-0.800965
0.000489,-0.801035
0.000977,-0.801105
0.001466,-0.801175
0.001954,-0.801245
0.002443,-0.801419
0.002931,-0.801630
0.003420,-0.801841
0.003908,-0.802052
0.004397,-0.802330
0.004885,-0.802685
0.005374,-0.803039
0.005862,-0.803393
0.006351,-0.803776
0.006839,-0.804274
0.007328,-0.804771
0.007816,-0.805269
0.008305,-0.805766
0.008793,-0.806396
0.009282,-0.807035
0.009770,-0.807673
0.010259,-0.808312
0.010747,-0.809041
0.011236,-0.809815
0.011724,-0.810588
0.012213,-0.811361
0.012702,-0.812186
0.013190,-0.813084
0.013679,-0.813981
0.014167,-0.814879
0.014656,-0.815793
0.015144,-0.816802
0.015633,-0.817811
0.016121,-0.818819
0.016610,-0.819828
0.017098,-0.820920
0.017587,-0.822023
0.018075,-0.823126
0.018564,-0.824230
0.019052,-0.825380
0.019541,-0.826560
0.020029,-0.827739
0.020518,-0.828919
0.021006,-0.830119
0.021495,-0.831356
0.021983,-0.832593
0.022472,-0.833831
0.022960,-0.835072
0.023449,-0.836348
0.023937,-0.837625
0.024426,-0.838902
0.024915,-0.840178
0.025403,-0.841473
0.025892,-0.842772
0.026380,-0.844070
0.026869,-0.845369
0.027357,-0.846671
0.027846,-0.847975
0.028334,-0.849280
0.028823,-0.850584
0.029311,-0.851886
0.029800,-0.853183
0.030288,-0.854479
0.030777,-0.855776
0.031265,-0.857071
0.031754,-0.858347
0.032242,-0.859623
0.032731,-0.860900
0.033219,-0.862176
0.033708,-0.863428
0.034196,-0.864674
0.034685,-0.865920
0.035173,-0.867165
0.035662,-0.868391
0.036150,-0.869599
0.036639,-0.870806
0.037128,-0.872012
0.037616,-0.873209
0.038105,-0.874371
0.038593,-0.875533
0.039082,-0.876695
0.039570,-0.877857
0.040059,-0.878971
0.040547,-0.880083
0.041036,-0.881195
0.041524,-0.882308
0.042013,-0.883382
0.042501,-0.884442
0.042990,-0.885501
0.043478,-0.886561
0.043967,-0.887596
0.044455,-0.888600
0.044944,-0.889605
0.045432,-0.890610
0.045921,-0.891604
0.046409,-0.892553
0.046898,-0.893502
0.047386,-0.894451
0.047875,-0.895400
0.048363,-0.896298
0.048852,-0.897191
0.049340,-0.898085
0.049829,-0.898978
0.050318,-0.899827
0.050806,-0.900639
0.051295,-0.901451
0.051783,-0.902262
0.052272,-0.903074
0.052760,-0.903886
0.053249,-0.904698
0.053737,-0.905510
0.054226,-0.906310
0.054714,-0.907019
0.055203,-0.907728
0.055691,-0.908437
0.056180,-0.909146
0.056668,-0.909856
0.057157,-0.910565
0.057645,-0.911274
0.058134,-0.911983
0.058622,-0.912934
0.059111,-0.913504
0.059599,-0.914073
0.060088,-0.914643
