x,theta
0.000000,-0.841759
0.000489,-0.841795
0.000977,-0.841831
0.001466,-0.841867
0.001954,-0.841902
0.002443,-0.841992
0.002931,-0.842100
0.003420,-0.842209
0.003908,-0.842317
0.004397,-0.842461
0.004885,-0.842644
0.005374,-0.842827
0.005862,-0.843010
0.006351,-0.843209
0.006839,-0.843469
0.007328,-0.843729
0.007816,-0.843990
0.008305,-0.844250
0.008793,-0.844584
0.009282,-0.844923
0.009770,-0.845261
0.010259,-0.845600
0.010747,-0.845992
0.011236,-0.846409
0.011724,-0.846827
0.012213,-0.847244
0.012702,-0.847694
0.013190,-0.848188
0.013679,-0.848683
0.014167,-0.849177
0.014656,-0.849683
0.015144,-0.850251
0.015633,-0.850819
0.016121,-0.851387
0.016610,-0.851955
0.017098,-0.852583
0.017587,-0.853219
0.018075,-0.853855
0.018564,-0.854491
0.019052,-0.855164
0.019541,-0.855861
0.020029,-0.856557
0.020518,-0.857254
0.021006,-0.857969
0.021495,-0.858717
0.021983,-0.859465
0.022472,-0.860213
0.022960,-0.860965
0.023449,-0.861756
0.023937,-0.862546
0.024426,-0.863337
0.024915,-0.864127
0.025403,-0.864944
0.025892,-0.865767
0.026380,-0.866589
0.026869,-0.867412
0.027357,-0.868247
0.027846,-0.869091
0.028334,-0.869936
0.028823,-0.870781
0.029311,-0.871629
0.029800,-0.872486
0.030288,-0.873342
0.030777,-0.874199
0.031265,-0.875056
0.031754,-0.875916
0.032242,-0.876777
0.032731,-0.877637
0.033219,-0.878497
0.033708,-0.879353
0.034196,-0.880209
0.034685,-0.881064
0.035173,-0.881919
0.035662,-0.882769
0.036150,-0.883612
0.036639,-0.884456
0.037128,-0.885299
0.037616,-0.886138
0.038105,-0.886964
0.038593,-0.887789
0.039082,-0.888615
0.039570,-0.889440
0.040059,-0.890243
0.040547,-0.891046
0.041036,-0.891849
0.041524,-0.892651
0.042013,-0.893435
0.042501,-0.894211
0.042990,-0.894987
0.043478,-0.895762
0.043967,-0.896525
0.044455,-0.897271
0.044944,-0.898018
0.045432,-0.898764
0.045921,-0.899507
0.046409,-0.900205
0.046898,-0.900903
0.047386,-0.901600
0.047875,-0.902298
0.048363,-0.902996
0.048852,-0.903694
0.049340,-0.904392
0.049829,-0.905090
0.050318,-0.905743
0.050806,-0.906374
0.051295,-0.907004
0.051783,-0.907634
0.052272,-0.908264
0.052760,-0.908894
0.053249,-0.909525
0.053737,-0.910155
0.054226,-0.910777
0.054714,-0.911339
0.055203,-0.911902
0.055691,-0.912464
0.056180,-0.913027
0.056668,-0.913589
0.057157,-0.914152
0.057645,-0.914714
0.058134,-0.915277
0.058622,-0.916026
0.059111,-0.916492
0.059599,-0.916957
0.060088,-0.917423
0.060576,-0.917888
0.061065,-0.918354
0.061553,-0.918820
0.062042,-0.919285
0.062531,-0.919751
0.063019,-0.920217
0.063508,-0.920682
0.063996,-0.921148
0.064485,-0.921613
0.064973,-0.922079
0.065462,-0.922545
0.065950,-0.923010
0.066439,-0.923476
0.066927,-0.924347
0.067416,-0.924653
0.067904,-0.924959
0.068393,-0.925264
0.068881,-0.925570
0.069370,-0.925875
0.069858,-0.926181
