step,time,mass,ch_energy,kinetic_energy,total_energy,divergence_L2,c_min,c_max,u_max,cfl_number,amplitude,y_min,y_max,n_spikes,mu_min,mu_max,p_min,p_max,c_norm,mu_norm,ux_norm,uy_norm,p_norm,F_cap_max,F_mag_max,F_grav_max
100,5.000000000000e-02,-2.003999927482e-01,2.362148654240e+00,5.148281543878e-04,2.362663482394e+00,9.733756796877e-03,-1.000648933364e+00,1.002573963056e+00,9.880275510539e-02,1.084450093360e-02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
110,5.500000000000e-02,-2.003999927482e-01,2.362078557126e+00,3.125146690796e-04,2.362391071796e+00,1.155255182427e-02,-1.000661956227e+00,1.002584449119e+00,8.656958454513e-02,9.501799210153e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
120,6.000000000000e-02,-2.003999927482e-01,2.362017129707e+00,2.160223845686e-04,2.362233152092e+00,1.362695872726e-02,-1.000670946833e+00,1.002537481794e+00,7.714502074701e-02,8.467367621697e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
130,6.500000000000e-02,-2.003999927482e-01,2.361963144123e+00,1.562029437651e-04,2.362119347066e+00,1.566214741690e-02,-1.000675320941e+00,1.002460166024e+00,7.143106004627e-02,7.840208469226e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
140,7.000000000000e-02,-2.003999927482e-01,2.361920824189e+00,1.053814252389e-04,2.362026205614e+00,1.748337160205e-02,-1.000672531083e+00,1.002364488797e+00,6.778274412281e-02,7.439772617049e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
150,7.500000000000e-02,-2.003999927482e-01,2.361892366866e+00,5.934794833082e-05,2.361951714815e+00,1.972058834821e-02,-1.000662848304e+00,1.002273231517e+00,6.056292744477e-02,6.647332076074e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
160,8.000000000000e-02,-2.003999927482e-01,2.361884900551e+00,3.255255678350e-05,2.361917453108e+00,2.319565673444e-02,-1.000646791210e+00,1.002165276234e+00,5.097174367146e-02,5.594612430018e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
170,8.500000000000e-02,-2.003999927482e-01,2.361889812154e+00,1.731955098352e-05,2.361907131705e+00,2.685070982544e-02,-1.000625654806e+00,1.002043928463e+00,4.497239434078e-02,4.936129279945e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
180,9.000000000000e-02,-2.003999927482e-01,2.361906904862e+00,9.699681910797e-06,2.361916604544e+00,3.085334605225e-02,-1.000601693602e+00,1.001923561295e+00,3.652963395984e-02,4.009459545527e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
190,9.500000000000e-02,-2.003999927482e-01,2.361928903380e+00,7.440459084345e-06,2.361936343839e+00,3.510280706375e-02,-1.000575738662e+00,1.001811756197e+00,3.307645986476e-02,3.630442283730e-03,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
