step,time,message
5,6.000000e-03,"theta bounds violated: [-1.045662, 1.052099]"
5,6.000000e-03,"divU large: L2=2.828355, Linf=54.968702"
5,6.000000e-03,"internal energy increasing: dE_internal/dt=2265.162439"
6,7.000000e-03,"theta bounds violated: [-1.046236, 1.053547]"
6,7.000000e-03,"divU large: L2=1.623471, Linf=27.365050"
7,8.000000e-03,"theta bounds violated: [-1.042999, 1.050752]"
7,8.000000e-03,"divU large: L2=1.066910, Linf=16.643907"
8,9.000000e-03,"theta bounds violated: [-1.039922, 1.047824]"
8,9.000000e-03,"divU large: L2=0.659064, Linf=12.433652"
9,1.000000e-02,"theta bounds violated: [-1.036997, 1.044901]"
9,1.000000e-02,"divU large: L2=0.399658, Linf=8.998663"
10,1.100000e-02,"theta bounds violated: [-1.048336, 1.052676]"
10,1.100000e-02,"divU large: L2=2.712915, Linf=52.975387"
10,1.100000e-02,"internal energy increasing: dE_internal/dt=1071.112838"
11,1.200000e-02,"theta bounds violated: [-1.047602, 1.054482]"
11,1.200000e-02,"divU large: L2=1.557717, Linf=28.097077"
12,1.300000e-02,"theta bounds violated: [-1.044035, 1.051789]"
12,1.300000e-02,"divU large: L2=1.013806, Linf=17.540768"
13,1.400000e-02,"theta bounds violated: [-1.040451, 1.048471]"
13,1.400000e-02,"divU large: L2=0.641731, Linf=11.880219"
14,1.500000e-02,"theta bounds violated: [-1.037513, 1.045335]"
14,1.500000e-02,"divU large: L2=0.404635, Linf=9.064957"
15,1.600000e-02,"theta bounds violated: [-1.084476, 1.062344]"
15,1.600000e-02,"divU large: L2=4.192104, Linf=77.846682"
15,1.600000e-02,"internal energy increasing: dE_internal/dt=2807.028491"
16,1.700000e-02,"theta bounds violated: [-1.080159, 1.061579]"
16,1.700000e-02,"divU large: L2=1.841288, Linf=32.644095"
17,1.800000e-02,"theta bounds violated: [-1.066476, 1.057118]"
17,1.800000e-02,"divU large: L2=1.151641, Linf=21.802619"
18,1.900000e-02,"theta bounds violated: [-1.060168, 1.053370]"
18,1.900000e-02,"divU large: L2=0.722672, Linf=18.327278"
19,2.000000e-02,"theta bounds violated: [-1.055714, 1.050049]"
19,2.000000e-02,"divU large: L2=0.460813, Linf=14.717702"
20,2.100000e-02,"theta bounds violated: [-1.069809, 1.058701]"
20,2.100000e-02,"divU large: L2=3.082534, Linf=80.142771"
20,2.100000e-02,"internal energy increasing: dE_internal/dt=994.769938"
21,2.200000e-02,"theta bounds violated: [-1.071832, 1.059168]"
21,2.200000e-02,"divU large: L2=1.547745, Linf=26.654855"
22,2.300000e-02,"theta bounds violated: [-1.065316, 1.055819]"
22,2.300000e-02,"divU large: L2=1.025240, Linf=18.220713"
23,2.400000e-02,"theta bounds violated: [-1.058469, 1.052429]"
23,2.400000e-02,"divU large: L2=0.675236, Linf=13.453315"
24,2.500000e-02,"theta bounds violated: [-1.052490, 1.049077]"
24,2.500000e-02,"divU large: L2=0.443047, Linf=9.962284"
25,2.600000e-02,"theta bounds violated: [-1.086303, 1.061138]"
25,2.600000e-02,"divU large: L2=7.309963, Linf=91.887228"
25,2.600000e-02,"internal energy increasing: dE_internal/dt=4624.413323"
26,2.700000e-02,"theta bounds violated: [-1.072412, 1.064004]"
26,2.700000e-02,"divU large: L2=2.375347, Linf=65.123445"
27,2.800000e-02,"theta bounds violated: [-1.062604, 1.061637]"
27,2.800000e-02,"divU large: L2=1.256566, Linf=53.006522"
28,2.900000e-02,"theta bounds violated: [-1.055537, 1.058701]"
28,2.900000e-02,"divU large: L2=0.736607, Linf=37.156326"
29,3.000000e-02,"theta bounds violated: [-1.049701, 1.055586]"
29,3.000000e-02,"divU large: L2=0.478936, Linf=24.493900"
30,3.100000e-02,"theta bounds violated: [-1.068509, 1.076219]"
30,3.100000e-02,"divU large: L2=8.074126, Linf=93.251555"
30,3.100000e-02,"internal energy increasing: dE_internal/dt=4253.009859"
31,3.200000e-02,"theta bounds violated: [-1.064279, 1.085483]"
31,3.200000e-02,"divU large: L2=2.656942, Linf=52.102724"
32,3.300000e-02,"theta bounds violated: [-1.058847, 1.096621]"
32,3.300000e-02,"divU large: L2=1.368023, Linf=39.540529"
33,3.400000e-02,"theta bounds violated: [-1.052627, 1.108912]"
33,3.400000e-02,"divU large: L2=0.818773, Linf=27.682207"
34,3.500000e-02,"theta bounds violated: [-1.047977, 1.110391]"
34,3.500000e-02,"divU large: L2=0.541608, Linf=18.402835"
35,3.600000e-02,"theta bounds violated: [-1.054966, 1.149480]"
35,3.600000e-02,"divU large: L2=8.482392, Linf=102.034888"
35,3.600000e-02,"internal energy increasing: dE_internal/dt=4281.309705"
36,3.700000e-02,"theta bounds violated: [-1.067412, 1.072003]"
36,3.700000e-02,"divU large: L2=2.533172, Linf=60.705457"
37,3.800000e-02,"theta bounds violated: [-1.059720, 0.996788]"
37,3.800000e-02,"divU large: L2=1.211235, Linf=42.242046"
38,3.900000e-02,"theta bounds violated: [-1.060103, 0.936622]"
38,3.900000e-02,"divU large: L2=0.675747, Linf=27.701491"
39,4.000000e-02,"theta bounds violated: [-1.060378, 0.887316]"
39,4.000000e-02,"divU large: L2=0.425750, Linf=15.805798"
40,4.100000e-02,"theta bounds violated: [-1.102988, 0.838832]"
40,4.100000e-02,"divU large: L2=7.653287, Linf=115.160079"
40,4.100000e-02,"internal energy increasing: dE_internal/dt=4523.354558"
41,4.183669e-02,"theta bounds violated: [-1.117129, 0.806229]"
41,4.183669e-02,"divU large: L2=2.040401, Linf=49.708252"
42,4.267337e-02,"theta bounds violated: [-1.110043, 0.782933]"
42,4.267337e-02,"divU large: L2=1.161308, Linf=36.730581"
43,4.351006e-02,"theta bounds violated: [-1.100656, 0.764294]"
43,4.351006e-02,"divU large: L2=0.964804, Linf=39.074645"
44,4.434674e-02,"theta bounds violated: [-1.089703, 0.748328]"
44,4.434674e-02,"divU large: L2=0.708909, Linf=31.388752"
45,4.518343e-02,"theta bounds violated: [-1.133425, 0.734190]"
45,4.518343e-02,"divU large: L2=6.284134, Linf=160.311053"
45,4.518343e-02,"internal energy increasing: dE_internal/dt=3008.964143"
46,4.602011e-02,"theta bounds violated: [-1.141037, 0.721463]"
46,4.602011e-02,"divU large: L2=2.045487, Linf=83.109112"
47,4.685680e-02,"theta bounds violated: [-1.125051, 0.709920]"
47,4.685680e-02,"divU large: L2=1.376175, Linf=62.193348"
48,4.769348e-02,"theta bounds violated: [-1.109702, 0.699386]"
48,4.769348e-02,"divU large: L2=0.960263, Linf=51.792306"
49,4.853017e-02,"theta bounds violated: [-1.092737, 0.689734]"
49,4.853017e-02,"divU large: L2=0.767837, Linf=39.169167"
50,4.936685e-02,"theta bounds violated: [-1.127593, 0.680863]"
50,4.936685e-02,"divU large: L2=5.918957, Linf=237.700070"
50,4.936685e-02,"internal energy increasing: dE_internal/dt=2552.381870"
51,5.020354e-02,"theta bounds violated: [-1.146098, 0.672686]"
51,5.020354e-02,"divU large: L2=2.231927, Linf=144.301585"
52,5.104023e-02,"theta bounds violated: [-1.103299, 0.665127]"
52,5.104023e-02,"divU large: L2=1.473758, Linf=95.783446"
53,5.187691e-02,"theta bounds violated: [-1.089303, 0.658125]"
53,5.187691e-02,"divU large: L2=1.064138, Linf=73.986705"
54,5.271360e-02,"theta bounds violated: [-1.094720, 0.651625]"
54,5.271360e-02,"divU large: L2=0.955282, Linf=84.585609"
55,5.355028e-02,"theta bounds violated: [-1.145325, 0.645580]"
55,5.355028e-02,"divU large: L2=2.664082, Linf=178.825340"
55,5.355028e-02,"internal energy increasing: dE_internal/dt=1235.735680"
56,5.409498e-02,"theta bounds violated: [-1.141846, 0.647937]"
56,5.409498e-02,"divU large: L2=0.959822, Linf=74.382210"
57,5.463968e-02,"theta bounds violated: [-1.137149, 0.653275]"
57,5.463968e-02,"divU large: L2=0.642513, Linf=41.510193"
58,5.518438e-02,"theta bounds violated: [-1.118084, 0.658323]"
58,5.518438e-02,"divU large: L2=0.466631, Linf=29.154370"
59,5.572908e-02,"theta bounds violated: [-1.097434, 0.663090]"
59,5.572908e-02,"divU large: L2=0.355819, Linf=23.936552"
60,5.627378e-02,"theta bounds violated: [-1.094222, 0.667589]"
