step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,5.000000e-04,9.428638e-01,2.452091e-08,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00
1,1.000000e-03,9.428638e-01,2.961580e-08,4.492559e-04,9.428638e-01,9.433131e-01,1.474177e-05,8.985266e-01
2,1.500000e-03,9.428638e-01,3.050228e-08,1.728913e-03,9.428639e-01,9.445928e-01,8.484685e-06,2.559323e+00
3,2.000000e-03,9.428638e-01,2.977845e-08,3.853286e-03,9.428639e-01,9.467171e-01,5.809936e-06,4.248750e+00
4,2.500000e-03,9.428638e-01,2.834213e-08,6.816006e-03,9.428639e-01,9.496799e-01,4.647249e-06,5.925445e+00
5,3.000000e-03,1.041448e+00,4.242599e-03,1.061843e-02,1.045691e+00,1.056309e+00,2.056536e+02,2.132584e+02
6,3.500000e-03,1.037904e+00,2.880918e-03,1.526028e-02,1.040785e+00,1.056045e+00,-9.810916e+00,-5.272094e-01
7,4.000000e-03,1.036151e+00,2.010036e-03,2.074158e-02,1.038161e+00,1.058902e+00,-5.249151e+00,5.713443e+00
8,4.500000e-03,1.034983e+00,1.465065e-03,2.706226e-02,1.036448e+00,1.063511e+00,-3.424730e+00,9.216638e+00
9,5.000000e-03,1.034098e+00,1.080081e-03,3.422214e-02,1.035178e+00,1.069400e+00,-2.539913e+00,1.177984e+01
