step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,5.000000e-04,5.000000e-04,-1.000000e+00,1.000701e+00,-2.000000e-01,9.428638e-01,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.752940e-02,4.386140e-03,-2.752941e-02,4.386131e-03,3.449434e-02,2.452091e-08,5.724335e-02,1.388005e+01,1.951294e-03,-2.097673e-01,7.276931e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000000e-03,5.000000e-04,-1.000000e+00,1.000946e+00,-2.000000e-01,9.428638e-01,4.551983e-06,0,0.000000e+00,0.000000e+00,-2.186495e-02,5.338441e-04,4.177786e-02,1.552315e-02,4.492559e-04,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.754321e-02,4.387255e-03,-2.754320e-02,4.387259e-03,3.451327e-02,2.961588e-08,5.727119e-02,1.388677e+01,1.952365e-03,-1.454574e-01,7.277352e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.433131e-01,1.474194e-05,8.985266e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,1.500000e-03,5.000000e-04,-1.000000e+00,1.001112e+00,-2.000000e-01,9.428638e-01,6.711696e-06,0,0.000000e+00,0.000000e+00,-4.299437e-02,1.027227e-03,8.370155e-02,2.919819e-02,1.728913e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.753261e-02,4.385763e-03,-2.753261e-02,4.385770e-03,3.449977e-02,3.050191e-08,5.724943e-02,1.388148e+01,1.951602e-03,-8.870784e-02,7.274988e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.445928e-01,8.483753e-06,2.559323e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,2.000000e-03,5.000000e-04,-1.000001e+00,1.001239e+00,-2.000000e-01,9.428638e-01,7.257558e-06,0,0.000000e+00,0.000000e+00,-6.421586e-02,1.525339e-03,1.256177e-01,4.318522e-02,3.853286e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.752404e-02,4.385565e-03,-2.752404e-02,4.385568e-03,3.448828e-02,2.977789e-08,5.723293e-02,1.387731e+01,1.950952e-03,-6.903761e-02,7.273139e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.467171e-01,5.809522e-06,4.248750e+00,0.000000e+00,0.000000e+00,0.000000e+00
4,2.500000e-03,5.000000e-04,-1.000001e+00,1.001343e+00,-2.000000e-01,9.428638e-01,7.519865e-06,0,0.000000e+00,0.000000e+00,-8.542584e-02,2.022865e-03,1.675345e-01,5.714707e-02,6.816006e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.751733e-02,4.385051e-03,-2.751733e-02,4.385054e-03,3.447948e-02,2.834158e-08,5.721973e-02,1.387402e+01,1.950454e-03,-5.921408e-02,7.271615e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.496799e-01,4.647230e-06,5.925445e+00,0.000000e+00,0.000000e+00,0.000000e+00
5,3.000000e-03,5.000000e-04,-1.000001e+00,1.001431e+00,-2.000000e-01,9.428638e-01,7.585235e-06,0,0.000000e+00,0.000000e+00,-1.066373e-01,2.520463e-03,2.094512e-01,7.111208e-02,1.061842e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.751197e-02,4.384382e-03,-2.751197e-02,4.384384e-03,3.447274e-02,2.681832e-08,5.720847e-02,1.387132e+01,1.950072e-03,-5.477326e-02,7.270273e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.534823e-01,4.538721e-06,7.604826e+00,0.000000e+00,0.000000e+00,0.000000e+00
6,3.500000e-03,5.000000e-04,-1.000001e+00,1.001508e+00,-2.000000e-01,9.428638e-01,7.606806e-06,0,0.000000e+00,0.000000e+00,-1.278485e-01,3.018053e-03,2.513680e-01,8.507670e-02,1.526028e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.750713e-02,4.383950e-03,-2.750713e-02,4.383950e-03,3.446649e-02,2.557910e-08,5.719874e-02,1.386892e+01,1.949719e-03,-5.124866e-02,7.269111e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.581241e-01,5.128371e-06,9.283734e+00,0.000000e+00,0.000000e+00,0.000000e+00
7,4.000000e-03,5.000000e-04,-1.000001e+00,1.001577e+00,-2.000000e-01,9.428638e-01,7.622133e-06,0,0.000000e+00,0.000000e+00,-1.490598e-01,3.515644e-03,2.932847e-01,9.904136e-02,2.074164e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.750280e-02,4.383381e-03,-2.750280e-02,4.383379e-03,3.446100e-02,2.474557e-08,5.718982e-02,1.386674e+01,1.949409e-03,-4.892703e-02,7.268026e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.636055e-01,5.955067e-06,1.096272e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,4.500000e-03,5.000000e-04,-1.000000e+00,1.001639e+00,-2.000000e-01,9.428638e-01,7.649875e-06,0,0.000000e+00,0.000000e+00,-1.702710e-01,4.013234e-03,3.352014e-01,1.130060e-01,2.706248e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.749886e-02,4.382814e-03,-2.749886e-02,4.382812e-03,3.445604e-02,2.427241e-08,5.718168e-02,1.386476e+01,1.949128e-03,-5.097884e-02,7.267028e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.699263e-01,6.703560e-06,1.264169e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,5.000000e-03,5.000000e-04,-1.000000e+00,1.001695e+00,-2.000000e-01,9.428638e-01,7.697421e-06,0,0.000000e+00,0.000000e+00,-1.914823e-01,4.510825e-03,3.771182e-01,1.269707e-01,3.422281e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.749527e-02,4.382254e-03,-2.749527e-02,4.382251e-03,3.445154e-02,2.406026e-08,5.717424e-02,1.386295e+01,1.948873e-03,-5.345024e-02,7.266112e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.770867e-01,7.273113e-06,1.432067e+01,0.000000e+00,0.000000e+00,0.000000e+00
