step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,5.000000e-04,9.428638e-01,2.452091e-08,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00
1,1.000000e-03,9.428638e-01,2.961588e-08,4.492559e-04,9.428638e-01,9.433131e-01,1.474194e-05,8.985266e-01
2,1.500000e-03,9.428638e-01,3.050191e-08,1.728913e-03,9.428639e-01,9.445928e-01,8.483753e-06,2.559323e+00
3,2.000000e-03,9.428638e-01,2.977789e-08,3.853286e-03,9.428639e-01,9.467171e-01,5.809522e-06,4.248750e+00
4,2.500000e-03,9.428638e-01,2.834158e-08,6.816006e-03,9.428639e-01,9.496799e-01,4.647230e-06,5.925445e+00
5,3.000000e-03,9.428638e-01,2.681832e-08,1.061842e-02,9.428639e-01,9.534823e-01,4.538721e-06,7.604826e+00
6,3.500000e-03,9.428638e-01,2.557910e-08,1.526028e-02,9.428639e-01,9.581241e-01,5.128371e-06,9.283734e+00
7,4.000000e-03,9.428638e-01,2.474557e-08,2.074164e-02,9.428639e-01,9.636055e-01,5.955067e-06,1.096272e+01
8,4.500000e-03,9.428638e-01,2.427241e-08,2.706248e-02,9.428639e-01,9.699263e-01,6.703560e-06,1.264169e+01
9,5.000000e-03,9.428638e-01,2.406026e-08,3.422281e-02,9.428639e-01,9.770867e-01,7.273113e-06,1.432067e+01
10,5.500000e-03,9.428639e-01,2.399378e-08,4.222262e-02,9.428639e-01,9.850865e-01,7.628224e-06,1.599964e+01
11,6.000000e-03,9.428639e-01,2.402755e-08,5.106193e-02,9.428639e-01,9.939258e-01,7.895450e-06,1.767861e+01
12,6.500000e-03,9.428639e-01,2.404598e-08,6.074072e-02,9.428639e-01,1.003605e+00,7.921702e-06,1.935759e+01
13,7.000000e-03,9.428639e-01,2.408890e-08,7.125899e-02,9.428639e-01,1.014123e+00,8.036595e-06,2.103656e+01
14,7.500000e-03,9.428639e-01,2.409391e-08,8.261675e-02,9.428639e-01,1.025481e+00,7.998810e-06,2.271553e+01
15,8.000000e-03,9.428639e-01,2.407697e-08,9.481400e-02,9.428639e-01,1.037678e+00,7.989142e-06,2.439451e+01
16,8.500000e-03,9.428639e-01,2.403963e-08,1.078507e-01,9.428639e-01,1.050715e+00,7.970675e-06,2.607348e+01
17,9.000000e-03,9.428639e-01,2.400830e-08,1.217270e-01,9.428639e-01,1.064591e+00,8.016523e-06,2.775245e+01
18,9.500000e-03,9.428639e-01,2.395716e-08,1.364427e-01,9.428639e-01,1.079307e+00,7.980748e-06,2.943142e+01
19,1.000000e-02,9.428639e-01,2.388468e-08,1.519979e-01,9.428639e-01,1.094862e+00,7.933919e-06,3.111040e+01
