step,time,message
2,1.500000e-03,"theta bounds violated: [-1.000000, 1.001111]"
3,2.000000e-03,"theta bounds violated: [-1.000000, 1.001238]"
4,2.500000e-03,"theta bounds violated: [-1.000000, 1.001342]"
5,3.000000e-03,"theta bounds violated: [-1.000000, 1.172362]"
5,3.000000e-03,"divU large: L2=0.179594, Linf=41.850784"
5,3.000000e-03,"internal energy increasing: dE_internal/dt=76.387138"
6,3.500000e-03,"theta bounds violated: [-1.000000, 1.124622]"
6,3.500000e-03,"divU large: L2=0.150979, Linf=45.673348"
7,4.000000e-03,"theta bounds violated: [-1.000001, 1.043888]"
7,4.000000e-03,"divU large: L2=0.163566, Linf=49.795650"
8,4.500000e-03,"theta bounds violated: [-1.000001, 1.038929]"
8,4.500000e-03,"divU large: L2=0.171050, Linf=52.142782"
9,5.000000e-03,"theta bounds violated: [-1.000001, 1.036480]"
9,5.000000e-03,"divU large: L2=0.175875, Linf=53.639389"
10,5.500000e-03,"theta bounds violated: [-1.000000, 1.023789]"
10,5.500000e-03,"divU large: L2=0.173065, Linf=50.550020"
10,5.500000e-03,"internal energy increasing: dE_internal/dt=7.908715"
11,6.000000e-03,"theta bounds violated: [-1.000000, 1.025954]"
11,6.000000e-03,"divU large: L2=0.187992, Linf=57.786638"
12,6.500000e-03,"theta bounds violated: [-1.000001, 1.025289]"
12,6.500000e-03,"divU large: L2=0.202426, Linf=62.379775"
13,7.000000e-03,"theta bounds violated: [-1.000001, 1.023927]"
13,7.000000e-03,"divU large: L2=0.208269, Linf=64.028838"
14,7.500000e-03,"theta bounds violated: [-1.000001, 1.022851]"
14,7.500000e-03,"divU large: L2=0.211578, Linf=65.002640"
15,8.000000e-03,"theta bounds violated: [-1.000000, 1.058131]"
15,8.000000e-03,"divU large: L2=0.213750, Linf=32.480249"
15,8.000000e-03,"internal energy increasing: dE_internal/dt=123.662668"
16,8.500000e-03,"theta bounds violated: [-1.000000, 1.060551]"
16,8.500000e-03,"divU large: L2=0.130354, Linf=36.208230"
17,9.000000e-03,"theta bounds violated: [-1.000000, 1.057778]"
17,9.000000e-03,"divU large: L2=0.141394, Linf=39.611993"
18,9.500000e-03,"theta bounds violated: [-1.000000, 1.054655]"
18,9.500000e-03,"divU large: L2=0.149675, Linf=42.021558"
19,1.000000e-02,"theta bounds violated: [-1.000000, 1.051497]"
19,1.000000e-02,"divU large: L2=0.156305, Linf=44.384402"
