step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,1.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,0.000000e+00,0,0.000000e+00,1.329377e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,3.171112e-02,-8.596907e-01,1.374562e-01,-8.596907e-01,1.374563e-01,1.077663e+00,2.404277e-05,1.788348e+00,4.333072e+02,1.219237e-01,-9.100840e+03,1.350015e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.432644e+00,9.428879e-01,9.428879e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,2.000000e-03,1.000000e-03,-1.000008e+00,1.029512e+00,-2.000000e-01,9.428703e-01,6.484426e-03,0,0.000000e+00,1.351980e+00,-4.242156e-02,9.951744e-04,8.295396e-02,2.798757e-02,1.678894e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,1.034302e+00,-8.544295e-01,1.361488e-01,-8.544294e-01,1.361488e-01,1.070616e+00,2.401080e-05,1.776672e+00,4.307950e+02,1.211264e-01,-9.101571e+03,1.347234e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.393558e+00,9.428943e-01,9.445732e-01,6.452461e-03,1.685346e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,3.000000e-03,1.000000e-03,-1.000009e+00,1.038391e+00,-2.000000e-01,9.428776e-01,7.292234e-03,0,0.000000e+00,1.327703e+00,-8.484326e-02,1.990296e-03,1.659256e-01,5.597856e-02,6.715582e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,8.876672e-01,-8.531258e-01,1.359158e-01,-8.531257e-01,1.359159e-01,1.068955e+00,2.416029e-05,1.773927e+00,4.301455e+02,1.209384e-01,-9.101365e+03,1.344771e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.377075e+00,9.429017e-01,9.496173e-01,7.441718e-03,5.044130e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,4.000000e-03,1.000000e-03,-1.000009e+00,1.044388e+00,-2.000000e-01,9.428852e-01,7.602738e-03,0,0.000000e+00,1.337436e+00,-1.272651e-01,2.985365e-03,2.489153e-01,8.397285e-02,1.511007e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.775114e-01,-8.525550e-01,1.358173e-01,-8.525549e-01,1.358173e-01,1.068232e+00,2.428278e-05,1.772728e+00,4.298600e+02,1.208566e-01,-9.101158e+03,1.343555e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.434391e+00,9.429095e-01,9.580195e-01,7.725236e-03,8.402217e+00,0.000000e+00,0.000000e+00,0.000000e+00
4,5.000000e-03,1.000000e-03,-1.000008e+00,1.048887e+00,-2.000000e-01,9.428929e-01,7.755741e-03,0,0.000000e+00,1.352883e+00,-1.696871e-01,3.980383e-03,3.319247e-01,1.119707e-01,2.686238e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.800485e-01,-8.521602e-01,1.357490e-01,-8.521602e-01,1.357490e-01,1.067732e+00,2.431446e-05,1.771899e+00,4.296626e+02,1.208000e-01,-9.101180e+03,1.342708e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.423539e+00,9.429173e-01,9.697796e-01,7.787413e-03,1.176009e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,6.000000e-03,1.000000e-03,-1.000007e+00,1.052505e+00,-2.000000e-01,9.429008e-01,7.867471e-03,0,0.000000e+00,1.335101e+00,-2.121093e-01,4.975353e-03,4.149551e-01,1.399725e-01,4.197251e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.832577e-01,-8.518572e-01,1.356966e-01,-8.518571e-01,1.356966e-01,1.067348e+00,2.428337e-05,1.771263e+00,4.295110e+02,1.207566e-01,-9.101129e+03,1.342051e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.519797e+00,9.429251e-01,9.848976e-01,7.836387e-03,1.511797e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,7.000000e-03,1.000000e-03,-1.000006e+00,1.055536e+00,-2.000000e-01,9.429088e-01,7.953313e-03,0,0.000000e+00,1.356794e+00,-2.545317e-01,5.970274e-03,4.980077e-01,1.679783e-01,6.044048e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.737577e-01,-8.516097e-01,1.356538e-01,-8.516096e-01,1.356538e-01,1.067034e+00,2.423391e-05,1.770743e+00,4.293873e+02,1.207211e-01,-9.101024e+03,1.341513e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.504872e+00,9.429330e-01,1.003373e+00,7.903847e-03,1.847587e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,8.000000e-03,1.000000e-03,-1.000005e+00,1.058147e+00,-2.000000e-01,9.429168e-01,8.022006e-03,0,0.000000e+00,1.590330e+00,-2.969542e-01,6.965147e-03,5.810833e-01,1.959885e-01,8.226630e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.916706e-01,-8.513998e-01,1.356175e-01,-8.513997e-01,1.356175e-01,1.066768e+00,2.419244e-05,1.770302e+00,4.292823e+02,1.206911e-01,-9.100902e+03,1.341055e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.645460e+00,9.429410e-01,1.025207e+00,7.980540e-03,2.183379e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,9.000000e-03,1.000000e-03,-1.000005e+00,1.060442e+00,-2.000000e-01,9.429249e-01,8.079078e-03,0,0.000000e+00,1.457329e+00,-3.393768e-01,7.959973e-03,6.641827e-01,2.240033e-01,1.074500e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.758599e-01,-8.512173e-01,1.355859e-01,-8.512173e-01,1.355860e-01,1.066537e+00,2.416661e-05,1.769919e+00,4.291910e+02,1.206649e-01,-9.100788e+03,1.340657e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.399416e+00,9.429490e-01,1.050399e+00,8.053253e-03,2.519172e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,1.000000e-02,1.000000e-03,-1.000004e+00,1.062489e+00,-2.000000e-01,9.429330e-01,8.127877e-03,0,0.000000e+00,1.346504e+00,-3.817996e-01,8.954750e-03,7.473063e-01,2.520228e-01,1.359915e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.544598e-01,-8.510558e-01,1.355580e-01,-8.510558e-01,1.355580e-01,1.066333e+00,2.415453e-05,1.769580e+00,4.291103e+02,1.206418e-01,-9.100691e+03,1.340303e+04,0.000000e+00,0.000000e+00,0.000000e+00,2.359076e+00,9.429572e-01,1.078949e+00,8.115789e-03,2.854965e+01,0.000000e+00,0.000000e+00,0.000000e+00
