step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,5.000000e-04,9.428638e-01,2.447584e-08,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00
1,1.000000e-03,9.428638e-01,2.479626e-08,4.492559e-04,9.428638e-01,9.433131e-01,4.986191e-06,8.985168e-01
2,1.500000e-03,9.428638e-01,2.491988e-08,1.728913e-03,9.428638e-01,9.445928e-01,6.533899e-06,2.559321e+00
3,2.000000e-03,9.428638e-01,2.501205e-08,3.853286e-03,9.428639e-01,9.467171e-01,7.082402e-06,4.248752e+00
4,2.500000e-03,9.428638e-01,2.508597e-08,6.816006e-03,9.428639e-01,9.496799e-01,7.365979e-06,5.925448e+00
5,3.000000e-03,9.810686e-01,3.441595e-07,1.061842e-02,9.810689e-01,9.916873e-01,7.641009e+01,8.401491e+01
6,3.500000e-03,9.790792e-01,3.292833e-07,1.526028e-02,9.790795e-01,9.943398e-01,-3.978711e+00,5.305015e+00
7,4.000000e-03,9.775669e-01,3.891262e-07,2.074164e-02,9.775673e-01,9.983089e-01,-3.024477e+00,7.938232e+00
8,4.500000e-03,9.766089e-01,4.284099e-07,2.706247e-02,9.766094e-01,1.003672e+00,-1.915900e+00,1.072578e+01
9,5.000000e-03,9.759814e-01,4.555118e-07,3.422280e-02,9.759818e-01,1.010205e+00,-1.255032e+00,1.306562e+01
10,5.500000e-03,9.804268e-01,5.697864e-07,4.222261e-02,9.804274e-01,1.022650e+00,8.891119e+00,2.489074e+01
11,6.000000e-03,9.789867e-01,6.032830e-07,5.106304e-02,9.789873e-01,1.030050e+00,-2.880139e+00,1.480072e+01
12,6.500000e-03,9.784370e-01,6.381646e-07,6.074416e-02,9.784376e-01,1.039182e+00,-1.099407e+00,1.826283e+01
13,7.000000e-03,9.781787e-01,6.559064e-07,7.126369e-02,9.781793e-01,1.049443e+00,-5.166230e-01,2.052244e+01
14,7.500000e-03,9.780309e-01,6.701435e-07,8.262254e-02,9.780316e-01,1.060654e+00,-2.954396e-01,2.242227e+01
15,8.000000e-03,1.046302e+00,4.161732e-07,9.482145e-02,1.046302e+00,1.141124e+00,1.365412e+02,1.609390e+02
16,8.500000e-03,1.039380e+00,6.842273e-07,1.078572e-01,1.039381e+00,1.147238e+00,-1.384327e+01,1.222832e+01
17,9.000000e-03,1.036306e+00,8.301151e-07,1.217365e-01,1.036307e+00,1.158044e+00,-6.146903e+00,2.161162e+01
18,9.500000e-03,1.034688e+00,8.194256e-07,1.364563e-01,1.034689e+00,1.171145e+00,-3.236395e+00,2.620322e+01
19,1.000000e-02,1.033702e+00,7.736443e-07,1.520173e-01,1.033703e+00,1.185720e+00,-1.971676e+00,2.915026e+01
