step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,5.000000e-04,9.428638e-01,2.452091e-08,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00
1,1.000000e-03,9.428638e-01,2.961588e-08,4.492559e-04,9.428638e-01,9.433131e-01,1.474194e-05,8.985266e-01
2,1.500000e-03,9.428638e-01,3.050191e-08,1.728913e-03,9.428639e-01,9.445928e-01,8.483753e-06,2.559323e+00
3,2.000000e-03,9.428638e-01,2.977789e-08,3.853286e-03,9.428639e-01,9.467171e-01,5.809522e-06,4.248750e+00
4,2.500000e-03,9.428638e-01,2.834158e-08,6.816006e-03,9.428639e-01,9.496799e-01,4.647230e-06,5.925445e+00
5,3.000000e-03,1.041448e+00,5.175273e-03,1.061843e-02,1.046623e+00,1.057242e+00,2.075189e+02,2.151238e+02
6,3.500000e-03,1.038127e+00,3.204576e-03,1.526028e-02,1.041331e+00,1.056592e+00,-1.058367e+01,-1.299962e+00
7,4.000000e-03,1.036283e+00,2.877329e-03,2.074158e-02,1.039160e+00,1.059901e+00,-4.343218e+00,6.619376e+00
8,4.500000e-03,1.035331e+00,2.865628e-03,2.706226e-02,1.038196e+00,1.065259e+00,-1.926888e+00,1.071448e+01
9,5.000000e-03,1.034292e+00,2.460215e-03,3.422215e-02,1.036752e+00,1.070974e+00,-2.889404e+00,1.143038e+01
