step,time,message
2,1.500000e-03,"theta bounds violated: [-1.000000, 1.001112]"
3,2.000000e-03,"theta bounds violated: [-1.000001, 1.001239]"
4,2.500000e-03,"theta bounds violated: [-1.000001, 1.001343]"
5,3.000000e-03,"theta bounds violated: [-1.053149, 1.092437]"
5,3.000000e-03,"divU large: L2=1.642302, Linf=202.192583"
5,3.000000e-03,"internal energy increasing: dE_internal/dt=205.653600"
6,3.500000e-03,"theta bounds violated: [-1.055011, 1.146286]"
6,3.500000e-03,"divU large: L2=1.005653, Linf=115.470314"
7,4.000000e-03,"theta bounds violated: [-1.050413, 1.168791]"
7,4.000000e-03,"divU large: L2=0.691595, Linf=76.991716"
8,4.500000e-03,"theta bounds violated: [-1.045752, 1.161549]"
8,4.500000e-03,"divU large: L2=0.512655, Linf=56.140493"
9,5.000000e-03,"theta bounds violated: [-1.041663, 1.145366]"
9,5.000000e-03,"divU large: L2=0.401515, Linf=45.853222"
10,5.500000e-03,"theta bounds violated: [-1.047929, 1.070630]"
10,5.500000e-03,"divU large: L2=0.669796, Linf=79.952529"
10,5.500000e-03,"internal energy increasing: dE_internal/dt=179.805777"
11,6.000000e-03,"theta bounds violated: [-1.049622, 1.064481]"
11,6.000000e-03,"divU large: L2=0.625887, Linf=64.705378"
12,6.500000e-03,"theta bounds violated: [-1.045905, 1.060258]"
12,6.500000e-03,"divU large: L2=0.541266, Linf=55.709910"
13,7.000000e-03,"theta bounds violated: [-1.041847, 1.055839]"
13,7.000000e-03,"divU large: L2=0.457722, Linf=47.021354"
14,7.500000e-03,"theta bounds violated: [-1.038306, 1.052260]"
14,7.500000e-03,"divU large: L2=0.388063, Linf=44.455392"
15,8.000000e-03,"theta bounds violated: [-1.040862, 1.062102]"
15,8.000000e-03,"divU large: L2=0.647131, Linf=73.261983"
15,8.000000e-03,"internal energy increasing: dE_internal/dt=268.235513"
