step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,5.000000e-04,5.000000e-04,-1.000000e+00,1.000701e+00,-2.000000e-01,9.428638e-01,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.752940e-02,4.386140e-03,-2.752941e-02,4.386131e-03,3.449434e-02,2.452091e-08,5.724335e-02,1.388005e+01,1.951294e-03,-2.097673e-01,7.276931e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000000e-03,5.000000e-04,-1.000000e+00,1.000946e+00,-2.000000e-01,9.428638e-01,4.551983e-06,0,0.000000e+00,0.000000e+00,-2.186495e-02,5.338441e-04,4.177786e-02,1.552315e-02,4.492559e-04,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.754321e-02,4.387255e-03,-2.754320e-02,4.387259e-03,3.451327e-02,2.961588e-08,5.727119e-02,1.388677e+01,1.952365e-03,-1.454574e-01,7.277352e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.433131e-01,1.474194e-05,8.985266e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,1.500000e-03,5.000000e-04,-1.000000e+00,1.001112e+00,-2.000000e-01,9.428638e-01,6.711696e-06,0,0.000000e+00,0.000000e+00,-4.299437e-02,1.027227e-03,8.370155e-02,2.919819e-02,1.728913e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.753261e-02,4.385763e-03,-2.753261e-02,4.385770e-03,3.449977e-02,3.050191e-08,5.724943e-02,1.388148e+01,1.951602e-03,-8.870784e-02,7.274988e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.445928e-01,8.483753e-06,2.559323e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,2.000000e-03,5.000000e-04,-1.000001e+00,1.001239e+00,-2.000000e-01,9.428638e-01,7.257558e-06,0,0.000000e+00,0.000000e+00,-6.421586e-02,1.525339e-03,1.256177e-01,4.318522e-02,3.853286e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.752404e-02,4.385565e-03,-2.752404e-02,4.385568e-03,3.448828e-02,2.977789e-08,5.723293e-02,1.387731e+01,1.950952e-03,-6.903761e-02,7.273139e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.467171e-01,5.809522e-06,4.248750e+00,0.000000e+00,0.000000e+00,0.000000e+00
4,2.500000e-03,5.000000e-04,-1.000001e+00,1.001343e+00,-2.000000e-01,9.428638e-01,7.519865e-06,0,0.000000e+00,0.000000e+00,-8.542584e-02,2.022865e-03,1.675345e-01,5.714707e-02,6.816006e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.751733e-02,4.385051e-03,-2.751733e-02,4.385054e-03,3.447948e-02,2.834158e-08,5.721973e-02,1.387402e+01,1.950454e-03,-5.921408e-02,7.271615e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428639e-01,9.496799e-01,4.647230e-06,5.925445e+00,0.000000e+00,0.000000e+00,0.000000e+00
5,3.000000e-03,5.000000e-04,-1.053149e+00,1.092437e+00,-1.999351e-01,1.041448e+00,1.971685e+02,0,0.000000e+00,0.000000e+00,-1.069288e-01,2.228969e-03,2.094512e-01,7.111208e-02,1.061843e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-5.367023e-01,5.687962e-01,-1.837721e+00,3.121401e-01,1.829881e+00,4.242599e-03,1.642302e+00,2.021926e+02,2.070274e-01,-5.213522e+02,9.471590e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.045691e+00,1.056309e+00,2.056536e+02,2.132584e+02,0.000000e+00,0.000000e+00,0.000000e+00
6,3.500000e-03,5.000000e-04,-1.055011e+00,1.146286e+00,-1.999439e-01,1.037904e+00,-7.087554e+00,0,0.000000e+00,0.000000e+00,-1.281883e-01,2.678300e-03,2.513680e-01,8.507671e-02,1.526028e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.525616e-01,3.158872e-01,-1.092595e+00,1.825116e-01,1.084293e+00,2.880918e-03,1.005653e+00,1.154703e+02,1.226737e-01,-3.102713e+02,6.344559e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.040785e+00,1.056045e+00,-9.810916e+00,-5.272094e-01,0.000000e+00,0.000000e+00,0.000000e+00
7,4.000000e-03,5.000000e-04,-1.050413e+00,1.168791e+00,-1.999625e-01,1.036151e+00,-3.507388e+00,0,0.000000e+00,0.000000e+00,-1.494560e-01,3.119373e-03,2.932848e-01,9.904138e-02,2.074158e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-1.288966e-01,2.130713e-01,-7.279558e-01,9.296655e-02,7.242104e-01,2.010038e-03,6.916818e-01,7.700071e+01,8.193506e-02,-2.110647e+02,6.265954e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.038161e+00,1.058902e+00,-5.249148e+00,5.713446e+00,0.000000e+00,0.000000e+00,0.000000e+00
8,4.500000e-03,5.000000e-04,-1.045752e+00,1.161549e+00,-1.999826e-01,1.034983e+00,-2.334762e+00,0,0.000000e+00,0.000000e+00,-1.707230e-01,3.561253e-03,3.352016e-01,1.165497e-01,2.706226e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-6.707423e-02,1.576681e-01,-5.270763e-01,7.211281e-02,5.255611e-01,1.465086e-03,5.126595e-01,5.614060e+01,5.946045e-02,-1.536749e+02,6.630032e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.036448e+00,1.063511e+00,-3.424666e+00,9.216702e+00,0.000000e+00,0.000000e+00,0.000000e+00
9,5.000000e-03,5.000000e-04,-1.041665e+00,1.145366e+00,-2.000018e-01,1.034099e+00,-1.768937e+00,0,0.000000e+00,0.000000e+00,-1.919901e-01,4.003021e-03,3.771182e-01,1.364969e-01,3.422214e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-3.694143e-02,1.219345e-01,-4.043286e-01,6.227963e-02,4.037332e-01,1.066722e-03,4.031777e-01,4.584273e+01,4.567720e-02,-1.180463e+02,6.867056e+02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.035165e+00,1.069388e+00,-2.565665e+00,1.175409e+01,0.000000e+00,0.000000e+00,0.000000e+00
