step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
10,1.100000e-02,1.000000e-03,-1.000008e+00,1.000105e+00,-3.800000e-01,9.428201e-01,3.653777e-08,1230,9.011330e-09,1.107908e+02,-2.922688e-03,6.355626e-02,4.057225e-01,3.049980e-01,6.178011e-03,1.000000e+00,1.900000e+00,1,0.000000e+00,3.826568e+01,-5.083259e-03,8.130084e-04,-5.083266e-03,8.130048e-04,6.371747e-03,2.159139e-10,1.095791e-02,7.686635e+00,2.162643e-03,-3.182294e-01,4.010264e+02,1.259628e+02,1.052060e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.489981e-01,2.781453e-08,1.096968e+00,1.099941e-01,1.099943e-01,1.099943e-01
11,1.200000e-02,1.000000e-03,-1.000010e+00,1.000107e+00,-3.800000e-01,9.428201e-01,5.298706e-08,1230,9.012459e-09,1.101286e+02,-3.213477e-03,6.986072e-02,4.459964e-01,3.351148e-01,7.462243e-03,1.000000e+00,1.900000e+00,1,0.000000e+00,3.722262e+01,-5.083054e-03,8.129344e-04,-5.083060e-03,8.129304e-04,6.371511e-03,2.330581e-10,1.095651e-02,7.686310e+00,2.162562e-03,-3.179624e-01,4.010083e+02,1.259608e+02,1.269508e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.502824e-01,7.013123e-08,1.284233e+00,1.099941e-01,1.099943e-01,1.099943e-01
12,1.300000e-02,1.000000e-03,-1.000010e+00,1.000108e+00,-3.800000e-01,9.428201e-01,7.190293e-08,1234,8.952275e-09,1.100408e+02,-3.507390e-03,7.596588e-02,4.862687e-01,3.633206e-01,8.804247e-03,1.000000e+00,1.900000e+00,1,0.000000e+00,3.747410e+01,-5.082849e-03,8.128994e-04,-5.082856e-03,8.128932e-04,6.371257e-03,2.343541e-10,1.095465e-02,7.686000e+00,2.162476e-03,-3.170108e-01,4.009919e+02,1.259596e+02,1.507144e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.516244e-01,7.319889e-08,1.342004e+00,1.099941e-01,1.099944e-01,1.099943e-01
13,1.400000e-02,1.000000e-03,-1.000009e+00,1.000110e+00,-3.800000e-01,9.428201e-01,5.901279e-08,1233,9.025555e-09,1.103018e+02,-3.799035e-03,8.221571e-02,5.265422e-01,3.929137e-01,1.030682e-02,1.000000e+00,1.900000e+00,1,0.000000e+00,3.760375e+01,-5.082640e-03,8.128873e-04,-5.082647e-03,8.128818e-04,6.370985e-03,2.584946e-10,1.095330e-02,7.685691e+00,2.162384e-03,-3.162921e-01,4.009764e+02,1.259582e+02,1.765684e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.531269e-01,8.315326e-08,1.502572e+00,1.099940e-01,1.099944e-01,1.099943e-01
14,1.500000e-02,1.000000e-03,-1.000011e+00,1.000111e+00,-3.800000e-01,9.428201e-01,5.442136e-08,1233,9.028570e-09,1.136625e+02,-4.092326e-03,8.836053e-02,5.668151e-01,4.214998e-01,1.188895e-02,1.000000e+00,1.900000e+00,1,0.000000e+00,3.767605e+01,-5.082418e-03,8.127467e-04,-5.082427e-03,8.127360e-04,6.370766e-03,2.562106e-10,1.095126e-02,7.685320e+00,2.162310e-03,-3.162424e-01,4.009535e+02,1.259538e+02,2.044750e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.547091e-01,5.213741e-08,1.582129e+00,1.099940e-01,1.099944e-01,1.099943e-01
15,1.600000e-02,1.000000e-03,-1.000009e+00,1.000113e+00,-3.800000e-01,9.428201e-01,6.714451e-08,1234,8.957300e-09,1.107172e+02,-4.384423e-03,9.458158e-02,6.070886e-01,4.508168e-01,1.361408e-02,1.000000e+00,1.900000e+00,1,0.000000e+00,3.771555e+01,-5.082184e-03,8.128062e-04,-5.082193e-03,8.127990e-04,6.370420e-03,2.867591e-10,1.094942e-02,7.684998e+00,2.162192e-03,-3.143984e-01,4.009398e+02,1.259531e+02,2.344791e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.564342e-01,9.769296e-08,1.725128e+00,1.099940e-01,1.099944e-01,1.099942e-01
16,1.700000e-02,1.000000e-03,-1.000012e+00,1.000114e+00,-3.800000e-01,9.428201e-01,6.425727e-08,1234,8.976359e-09,1.095631e+02,-4.677386e-03,1.007473e-01,6.473619e-01,4.796032e-01,1.543278e-02,1.000000e+00,1.900000e+00,1,0.000000e+00,3.796157e+01,-5.081940e-03,8.126723e-04,-5.081949e-03,8.126593e-04,6.370166e-03,2.843837e-10,1.094727e-02,7.684596e+00,2.162106e-03,-3.144940e-01,4.009157e+02,1.259471e+02,2.665692e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.582529e-01,6.188194e-08,1.818708e+00,1.099940e-01,1.099944e-01,1.099942e-01
17,1.800000e-02,1.000000e-03,-1.000010e+00,1.000115e+00,-3.800000e-01,9.428201e-01,6.748435e-08,1234,9.013222e-09,1.114923e+02,-4.969721e-03,1.069532e-01,6.876356e-01,5.087746e-01,1.738339e-02,1.000000e+00,1.900000e+00,1,0.000000e+00,3.709442e+01,-5.081693e-03,8.127252e-04,-5.081702e-03,8.127142e-04,6.369809e-03,3.299765e-10,1.094539e-02,7.684253e+00,2.161985e-03,-3.126028e-01,4.009008e+02,1.259454e+02,3.007773e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.602035e-01,1.130771e-07,1.950605e+00,1.099940e-01,1.099945e-01,1.099942e-01
18,1.900000e-02,1.000000e-03,-1.000012e+00,1.000116e+00,-3.800000e-01,9.428201e-01,7.110024e-08,1234,8.995827e-09,1.079568e+02,-5.262512e-03,1.131299e-01,7.279093e-01,5.376666e-01,1.943630e-02,1.000000e+00,1.900000e+00,1,0.000000e+00,3.903522e+01,-5.081415e-03,8.127139e-04,-5.081426e-03,8.127021e-04,6.369442e-03,3.783701e-10,1.094311e-02,7.683847e+00,2.161860e-03,-3.113731e-01,4.008808e+02,1.259401e+02,3.371033e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.622564e-01,1.194939e-07,2.052913e+00,1.099939e-01,1.099945e-01,1.099942e-01
19,2.000000e-02,1.000000e-03,-1.000011e+00,1.000117e+00,-3.800000e-01,9.428201e-01,9.472800e-08,1234,9.014693e-09,1.165361e+02,-5.554971e-03,1.193278e-01,7.681834e-01,5.667616e-01,2.161429e-02,1.000000e+00,1.900000e+00,1,0.000000e+00,5.154527e+01,-5.081140e-03,8.126924e-04,-5.081151e-03,8.126798e-04,6.369087e-03,4.138253e-10,1.094059e-02,7.683438e+00,2.161740e-03,-3.101946e-01,4.008601e+02,1.259354e+02,3.755816e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.644344e-01,1.301832e-07,2.177987e+00,1.099939e-01,1.099945e-01,1.099942e-01
20,2.100000e-02,1.000000e-03,-1.000014e+00,1.000118e+00,-3.800000e-01,9.428201e-01,1.018291e-07,1233,9.031342e-09,1.647377e+02,-5.847885e-03,1.255103e-01,8.084575e-01,5.957092e-01,2.389989e-02,1.000000e+00,1.900000e+00,1998,1.848286e-10,5.309428e+01,-5.080875e-03,8.126139e-04,-5.080886e-03,8.125985e-04,6.368777e-03,4.946518e-10,1.093989e-02,7.683024e+00,2.161635e-03,-3.104165e-01,4.008370e+02,1.259292e+02,4.162249e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.667200e-01,1.826556e-07,2.285601e+00,1.099939e-01,1.099946e-01,1.099942e-01
21,2.200000e-02,1.000000e-03,-1.000014e+00,1.000119e+00,-3.800000e-01,9.428201e-01,1.049476e-07,1235,8.958363e-09,1.462519e+02,-6.140601e-03,1.317040e-01,8.487321e-01,6.247636e-01,2.630646e-02,1.000000e+00,1.900000e+00,1996,1.940694e-10,3.966686e+01,-5.080517e-03,8.126433e-04,-5.080527e-03,8.126342e-04,6.368275e-03,4.321356e-10,1.093533e-02,7.682515e+00,2.161464e-03,-3.080128e-01,4.008138e+02,1.259249e+02,4.590525e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.691266e-01,4.243150e-08,2.406568e+00,1.099939e-01,1.099946e-01,1.099942e-01
22,2.300000e-02,1.000000e-03,-1.000014e+00,1.000120e+00,-3.800000e-01,9.428201e-01,1.158078e-07,1235,8.933362e-09,1.237950e+02,-6.433465e-03,1.378896e-01,8.890068e-01,6.537408e-01,2.882380e-02,1.000000e+00,1.900000e+00,1992,2.042842e-10,3.240187e+01,-5.080228e-03,8.125437e-04,-5.080240e-03,8.125280e-04,6.367945e-03,4.937260e-10,1.093309e-02,7.682059e+00,2.161352e-03,-3.072702e-01,4.007883e+02,1.259152e+02,5.040898e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.716439e-01,1.773981e-07,2.517348e+00,1.099938e-01,1.099947e-01,1.099942e-01
23,2.400000e-02,1.000000e-03,-1.000014e+00,1.000121e+00,-3.800000e-01,9.428201e-01,1.393058e-07,1234,9.022184e-09,1.398381e+02,-6.726221e-03,1.440810e-01,9.292819e-01,6.827741e-01,3.145968e-02,1.000000e+00,1.900000e+00,1990,2.126422e-10,3.333368e+01,-5.079932e-03,8.125409e-04,-5.079945e-03,8.125227e-04,6.367555e-03,5.461588e-10,1.093077e-02,7.681625e+00,2.161220e-03,-3.053099e-01,4.007667e+02,1.259104e+02,5.513770e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.742798e-01,1.917386e-07,2.635881e+00,1.099938e-01,1.099947e-01,1.099942e-01
24,2.500000e-02,1.000000e-03,-1.000014e+00,1.000122e+00,-3.800000e-01,9.428201e-01,1.165528e-07,1230,9.033599e-09,1.174884e+02,-7.019056e-03,1.502682e-01,9.695573e-01,7.117664e-01,3.420821e-02,1.000000e+00,1.900000e+00,1988,2.205258e-10,3.796070e+01,-5.079595e-03,8.124697e-04,-5.079608e-03,8.124515e-04,6.367142e-03,5.754914e-10,1.092863e-02,7.681109e+00,2.161080e-03,-3.049332e-01,4.007394e+02,1.259028e+02,6.009396e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.770283e-01,1.458853e-07,2.748527e+00,1.099938e-01,1.099948e-01,1.099942e-01
25,2.600000e-02,1.000000e-03,-1.000015e+00,1.000123e+00,-3.800000e-01,9.428201e-01,1.233514e-07,1230,8.991079e-09,1.193763e+02,-7.311834e-03,1.564585e-01,1.009833e+00,7.407883e-01,3.707385e-02,1.000000e+00,1.900000e+00,1987,2.284011e-10,4.100869e+01,-5.079234e-03,8.124155e-04,-5.079247e-03,8.123958e-04,6.366686e-03,5.822676e-10,1.092484e-02,7.680565e+00,2.160925e-03,-3.028494e-01,4.007113e+02,1.258946e+02,6.528052e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.798940e-01,1.301277e-07,2.865635e+00,1.099937e-01,1.099948e-01,1.099942e-01
26,2.700000e-02,1.000000e-03,-1.000015e+00,1.000123e+00,-3.800000e-01,9.428201e-01,1.472160e-07,1230,8.981488e-09,1.429032e+02,-7.604653e-03,1.626465e-01,1.050109e+00,7.697886e-01,4.005321e-02,1.000000e+00,1.900000e+00,1986,2.344603e-10,4.934795e+01,-5.078888e-03,8.124002e-04,-5.078901e-03,8.123810e-04,6.366232e-03,6.449083e-10,1.092194e-02,7.680054e+00,2.160771e-03,-3.011366e-01,4.006858e+02,1.258879e+02,7.070163e+01,3.300000e+04,0.000000e+00,9.428201e-01,9.828733e-01,2.098567e-07,2.979367e+00,1.099937e-01,1.099949e-01,1.099942e-01
27,2.800000e-02,1.000000e-03,-1.000017e+00,1.000124e+00,-3.800000e-01,9.428201e-01,1.613782e-07,1227,8.990544e-09,1.388525e+02,-7.897442e-03,1.688362e-01,1.090386e+00,7.988046e-01,4.314886e-02,1.000000e+00,1.900000e+00,1985,2.442306e-10,3.749707e+01,-5.078534e-03,8.123677e-04,-5.078547e-03,8.123448e-04,6.365779e-03,7.6077
