step,time,message
2,1.500000e-03,"theta bounds violated: [-1.000000, 1.001111]"
3,2.000000e-03,"theta bounds violated: [-1.000000, 1.001238]"
4,2.500000e-03,"theta bounds violated: [-1.000000, 1.001342]"
5,3.000000e-03,"theta bounds violated: [-1.137066, 1.085379]"
5,3.000000e-03,"divU large: L2=4.207738, Linf=122.788334"
5,3.000000e-03,"internal energy increasing: dE_internal/dt=4838.207963"
6,3.500000e-03,"theta bounds violated: [-1.124515, 1.100048]"
6,3.500000e-03,"divU large: L2=3.313031, Linf=111.373947"
7,4.000000e-03,"theta bounds violated: [-1.074769, 1.128201]"
7,4.000000e-03,"divU large: L2=2.959314, Linf=112.143669"
8,4.500000e-03,"theta bounds violated: [-1.067212, 1.140166]"
8,4.500000e-03,"divU large: L2=2.607336, Linf=111.839701"
9,5.000000e-03,"theta bounds violated: [-1.064143, 1.140625]"
9,5.000000e-03,"divU large: L2=2.310609, Linf=109.173325"
10,5.500000e-03,"theta bounds violated: [-1.103648, 1.078158]"
10,5.500000e-03,"divU large: L2=9.144298, Linf=237.311428"
10,5.500000e-03,"internal energy increasing: dE_internal/dt=5812.528340"
11,6.000000e-03,"theta bounds violated: [-1.112795, 1.048112]"
11,6.000000e-03,"divU large: L2=3.803224, Linf=127.308655"
12,6.500000e-03,"theta bounds violated: [-1.110471, 1.047358]"
12,6.500000e-03,"divU large: L2=2.805169, Linf=139.492164"
13,7.000000e-03,"theta bounds violated: [-1.105035, 1.045424]"
13,7.000000e-03,"divU large: L2=2.530184, Linf=152.773785"
14,7.500000e-03,"theta bounds violated: [-1.096231, 1.043951]"
14,7.500000e-03,"divU large: L2=2.538073, Linf=172.897045"
15,8.000000e-03,"theta bounds violated: [-1.070791, 1.042514]"
15,8.000000e-03,"divU large: L2=5.460540, Linf=250.607846"
15,8.000000e-03,"internal energy increasing: dE_internal/dt=1221.707019"
16,8.500000e-03,"theta bounds violated: [-1.071052, 1.046828]"
16,8.500000e-03,"divU large: L2=3.794221, Linf=307.577535"
17,9.000000e-03,"theta bounds violated: [-1.066850, 1.045816]"
17,9.000000e-03,"divU large: L2=4.130472, Linf=374.760023"
18,9.477939e-03,"theta bounds violated: [-1.065313, 1.044131]"
18,9.477939e-03,"divU large: L2=4.834354, Linf=456.089076"
19,9.855272e-03,"theta bounds violated: [-1.062852, 1.042503]"
19,9.855272e-03,"divU large: L2=5.791533, Linf=555.836531"
19,9.855272e-03,"internal energy increasing: dE_internal/dt=57.944427"
20,1.015424e-02,"theta bounds violated: [-1.098065, 1.054435]"
20,1.015424e-02,"divU large: L2=14.100121, Linf=889.927659"
20,1.015424e-02,"internal energy increasing: dE_internal/dt=8676.227172"
21,1.033469e-02,"theta bounds violated: [-1.092675, 1.058944]"
21,1.033469e-02,"divU large: L2=12.120917, Linf=1120.961686"
22,1.047215e-02,"theta bounds violated: [-1.091640, 1.059626]"
22,1.047215e-02,"divU large: L2=14.915066, Linf=1432.221137"
22,1.047215e-02,"internal energy increasing: dE_internal/dt=1494.424865"
23,1.057717e-02,"theta bounds violated: [-1.087182, 1.063041]"
23,1.057717e-02,"divU large: L2=18.899987, Linf=1835.268984"
23,1.057717e-02,"internal energy increasing: dE_internal/dt=4818.118223"
24,1.065808e-02,"theta bounds violated: [-1.081973, 1.065437]"
24,1.065808e-02,"divU large: L2=24.083739, Linf=2356.316388"
24,1.065808e-02,"internal energy increasing: dE_internal/dt=11045.463343"
25,1.072067e-02,"theta bounds violated: [-1.095498, 1.073417]"
25,1.072067e-02,"divU large: L2=40.714003, Linf=3864.434558"
25,1.072067e-02,"internal energy increasing: dE_internal/dt=104237.929872"
