step,time,ramp_factor,h_a_left,h_a_center,h_a_right,h_a_center_x,h_a_center_y,h_a_min,h_a_max,center_edge_ratio,uniformity
1,1.000000e-03,2.380952e-04,5.069637e-02,6.372079e-02,5.069637e-02,3.401331e-18,6.372079e-02,4.540604e-02,6.372079e-02,1.256910e+00,7.125781e-01
2,2.000000e-03,4.761905e-04,1.013927e-01,1.274416e-01,1.013927e-01,6.802663e-18,1.274416e-01,9.081208e-02,1.274416e-01,1.256910e+00,7.125781e-01
3,3.000000e-03,7.142857e-04,1.520891e-01,1.911624e-01,1.520891e-01,5.384579e-18,1.911624e-01,1.362181e-01,1.911624e-01,1.256910e+00,7.125781e-01
4,4.000000e-03,9.523810e-04,2.027855e-01,2.548832e-01,2.027855e-01,1.360533e-17,2.548832e-01,1.816242e-01,2.548832e-01,1.256910e+00,7.125781e-01
5,5.000000e-03,1.190476e-03,2.534818e-01,3.186039e-01,2.534818e-01,2.726822e-17,3.186039e-01,2.270302e-01,3.186039e-01,1.256910e+00,7.125781e-01
6,6.000000e-03,1.428571e-03,3.041782e-01,3.823247e-01,3.041782e-01,1.076916e-17,3.823247e-01,2.724362e-01,3.823247e-01,1.256910e+00,7.125781e-01
7,7.000000e-03,1.666667e-03,3.548746e-01,4.460455e-01,3.548746e-01,2.031209e-17,4.460455e-01,3.178423e-01,4.460455e-01,1.256910e+00,7.125781e-01
8,8.000000e-03,1.904762e-03,4.055709e-01,5.097663e-01,4.055709e-01,2.721065e-17,5.097663e-01,3.632483e-01,5.097663e-01,1.256910e+00,7.125781e-01
9,9.000000e-03,2.142857e-03,4.562673e-01,5.734871e-01,4.562673e-01,4.562290e-17,5.734871e-01,4.086544e-01,5.734871e-01,1.256910e+00,7.125781e-01
10,1.000000e-02,2.380952e-03,5.069637e-01,6.372079e-01,5.069637e-01,4.928999e-17,6.372079e-01,4.540604e-01,6.372079e-01,1.256910e+00,7.125781e-01
11,1.100000e-02,2.619048e-03,5.576600e-01,7.009287e-01,5.576600e-01,3.773598e-17,7.009287e-01,4.994664e-01,7.009287e-01,1.256910e+00,7.125781e-01
12,1.200000e-02,2.857143e-03,6.083564e-01,7.646495e-01,6.083564e-01,3.359682e-17,7.646495e-01,5.448725e-01,7.646495e-01,1.256910e+00,7.125781e-01
13,1.300000e-02,3.095238e-03,6.590527e-01,8.283703e-01,6.590527e-01,4.073337e-17,8.283703e-01,5.902785e-01,8.283703e-01,1.256910e+00,7.125781e-01
14,1.400000e-02,3.333333e-03,7.097491e-01,8.920911e-01,7.097491e-01,3.832893e-17,8.920911e-01,6.356846e-01,8.920911e-01,1.256910e+00,7.125781e-01
15,1.500000e-02,3.571429e-03,7.604455e-01,9.558118e-01,7.604455e-01,7.192001e-17,9.558118e-01,6.810906e-01,9.558118e-01,1.256910e+00,7.125781e-01
16,1.600000e-02,3.809524e-03,8.111418e-01,1.019533e+00,8.111418e-01,5.598691e-17,1.019533e+00,7.264966e-01,1.019533e+00,1.256910e+00,7.125781e-01
17,1.700000e-02,4.047619e-03,8.618382e-01,1.083253e+00,8.618382e-01,9.313199e-17,1.083253e+00,7.719027e-01,1.083253e+00,1.256910e+00,7.125781e-01
18,1.800000e-02,4.285714e-03,9.125346e-01,1.146974e+00,9.125346e-01,9.454613e-17,1.146974e+00,8.173087e-01,1.146974e+00,1.256910e+00,7.125781e-01
19,1.900000e-02,4.523810e-03,9.632309e-01,1.210695e+00,9.632309e-01,6.135035e-17,1.210695e+00,8.627148e-01,1.210695e+00,1.256910e+00,7.125781e-01
