step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
0,1.000000e-03,9.898685e-01,1.770415e-09,0.000000e+00,9.898685e-01,9.898685e-01,0.000000e+00,0.000000e+00
1,2.000000e-03,1.029218e+00,1.644824e-09,6.674151e-04,1.029218e+00,1.029885e+00,3.934912e+01,4.001653e+01
2,3.000000e-03,1.055460e+00,1.663324e-09,1.963673e-03,1.055460e+00,1.057424e+00,2.624241e+01,2.753867e+01
3,4.000000e-03,1.074103e+00,1.671111e-09,4.582081e-03,1.074103e+00,1.078685e+00,1.864321e+01,2.126161e+01
4,5.000000e-03,1.088092e+00,1.676290e-09,7.725829e-03,1.088092e+00,1.095818e+00,1.398903e+01,1.713277e+01
5,6.000000e-03,1.099016e+00,1.685415e-09,1.218020e-02,1.099016e+00,1.111196e+00,1.092374e+01,1.537811e+01
6,7.000000e-03,1.107801e+00,1.708774e-09,1.722198e-02,1.107801e+00,1.125023e+00,8.784648e+00,1.382642e+01
7,8.000000e-03,1.115025e+00,1.753601e-09,2.348716e-02,1.115025e+00,1.138512e+00,7.224163e+00,1.348935e+01
8,9.000000e-03,1.121071e+00,1.838663e-09,3.043155e-02,1.121071e+00,1.151502e+00,6.046000e+00,1.299039e+01
9,1.000000e-02,1.126203e+00,1.974903e-09,3.851046e-02,1.126203e+00,1.164713e+00,5.132181e+00,1.321109e+01
