refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,time
2,0.0353553,0,0,0,0,0,0,0,0,0,0,6.93042e-05,0,0.00949245,0,42.5516
3,0.0176777,0,0,0,0,0,0,0,0,0,0,5.91886e-05,0.227624,0.00249326,1.92875,133.868
4,0.00883883,0,0,0,0,0,0,0,0,0,0,5.90325e-05,0.00380943,0.000983132,1.34257,517.114
