refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,time
3,0.0125,0.0368149,0,0.129622,0,0.00143795,0,4.77858
4,0.00625,0.0368149,-2.98539e-09,0.129622,1.78575e-07,0.00143784,0.000112967,21.5419
5,0.003125,0.0368149,-2.59301e-10,0.129622,1.11086e-08,0.00143783,7.06155e-06,108.918
6,0.0015625,0.0368149,-3.24527e-10,0.129622,3.98799e-10,0.00143783,4.41358e-07,506.017
