refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,time
2,0.025,0.00348627,0,0.0136423,0,0.0100363,0,2.74726
3,0.0125,0.00348626,4.15417e-06,0.0136399,0.000255229,0.010036,3.6785e-05,11.1751
