refinement,h,n_dofs,wall_time,M_L2,M_L2_rate
3,1.767767e-02,30720,15.7573,2.3649e-01,0.0000
4,8.838835e-03,122880,75.9790,2.3649e-01,-0.0000
5,4.419417e-03,491520,361.1064,2.3649e-01,-0.0000
