refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,time
2,0.0353553,0,0,0,0,0,0,0,0,0,0,0.000180505,0,0.00974785,0,26.2511
3,0.0176777,0,0,0,0,0,0,0,0,0,0,0.000177085,0.0275981,0.00333828,1.54598,127.377
4,0.00883883,0,0,0,0,0,0,0,0,0,0,0.000177087,-1.92308e-05,0.00242853,0.459019,428.895
