refinement,h,n_dofs,wall_time,theta_L2,theta_L2_rate,theta_Linf,theta_Linf_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_Linf,ux_Linf_rate,ux_H1,ux_H1_rate,p_L2,p_L2_rate,p_Linf,p_Linf_rate,phi_L2,phi_L2_rate,phi_Linf,phi_Linf_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,M_Linf,M_Linf_rate
3,1.767767e-02,124165,33.19,2.59e-06,0.00,0.00e+00,0.00,3.58e-05,0.00,1.71e-05,0.00,0.00e+00,0.00,2.38e-03,0.00,4.98e+02,0.00,0.00e+00,0.00,3.22e-03,0.00,0.00e+00,0.00,1.26e-02,0.00,9.28e-03,0.00,0.00e+00,0.00
4,8.838835e-03,494085,137.03,2.59e-06,0.00,0.00e+00,0.00,3.58e-05,0.00,1.70e-05,0.01,0.00e+00,0.00,6.34e-04,1.91,5.29e+03,-3.41,0.00e+00,0.00,3.22e-03,0.00,0.00e+00,0.00,1.26e-02,0.00,9.28e-03,0.00,0.00e+00,0.00
5,4.419417e-03,1971205,559.00,2.59e-06,0.00,0.00e+00,0.00,3.57e-05,0.00,2.33e-05,-0.46,0.00e+00,0.00,3.42e-04,0.89,5.23e+03,0.02,0.00e+00,0.00,3.22e-03,0.00,0.00e+00,0.00,1.26e-02,0.00,9.28e-03,-0.00,0.00e+00,0.00
