refinement,h,n_dofs,wall_time,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,p_L2,p_L2_rate
3,1.767767e-02,66437,32.6633,2.5940e-06,0.0000,3.5755e-05,0.0000,4.5817e-06,0.0000,7.4135e-04,0.0000
4,8.838835e-03,263429,243.2957,2.5940e-06,-0.0000,3.5751e-05,0.0001,5.8182e-07,2.9772,3.7022e-04,1.0018
5,4.419417e-03,1049093,1532.7324,2.5940e-06,0.0000,3.5751e-05,0.0000,7.7620e-08,2.9061,1.8494e-04,1.0013
