refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,time
2,0.0353553,1.02196e-06,0,0.000264925,0,7.43323e-05,0,0,0,0,0,3.64525e-05,0,0.00946003,0,8.84092
3,0.0176777,1.2776e-07,2.99983,6.62386e-05,1.99984,1.85859e-05,1.99979,0,0,0,0,4.56325e-06,2.99788,0.00236649,1.9991,36.4086
4,0.00883883,1.59705e-08,2.99996,1.65601e-05,1.99996,4.64664e-06,1.99995,0,0,0,0,5.70634e-07,2.99943,0.000591715,1.99977,140.386
