refinement,h,n_dofs,wall_time,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate
3,1.767767e-02,15617,0.0352,6.3875e-07,0.0000,3.3119e-04,0.0000
4,8.838835e-03,61953,0.1755,7.9851e-08,2.9999,8.2801e-05,2.0000
