refinement,h,n_dofs,wall_time,M_L2,M_L2_rate
2,3.535534e-02,7680,16.0170,7.4332e-05,0.0000
3,1.767767e-02,30720,70.5954,1.8586e-05,1.9998
4,8.838835e-03,122880,339.0632,4.6466e-06,1.9999
