refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,time
2,0.025,0.000257678,0,0.00104233,0,0.000240039,0,0,0,0,0,0,0,0,0,7.21284
3,0.0125,0.000257666,6.86709e-05,0.00101027,0.0450696,0.000228996,0.0679503,0,0,0,0,0,0,0,0,29.372
