refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,time
3,0.0125,0.0364182,0,0.127999,0,0.00268513,0,1.02826
4,0.00625,0.0364182,-2.99624e-09,0.127999,1.83001e-07,0.00268506,3.23816e-05,4.69762
5,0.003125,0.0364182,-2.22489e-10,0.127999,1.13994e-08,0.00268506,2.02406e-06,21.5681
