refinement,h,n_dofs,wall_time,M_L2,M_L2_rate
3,1.767767e-02,30720,15.6078,1.8586e-05,0.0000
4,8.838835e-03,122880,60.7647,4.6466e-06,1.9999
5,4.419417e-03,491520,254.9311,1.1617e-06,2.0000
