refinement,h,n_dofs,wall_time,ux_L2,ux_L2_rate,ux_Linf,ux_Linf_rate,ux_H1,ux_H1_rate,p_L2,p_L2_rate,p_Linf,p_Linf_rate
3,1.767767e-02,81540,21.49,1.18e-04,0.00,0.00e+00,0.00,2.84e-03,0.00,3.74e-02,0.00,0.00e+00,0.00
4,8.838835e-03,324356,87.12,1.18e-04,0.00,0.00e+00,0.00,1.68e-03,0.76,3.74e-02,-0.00,0.00e+00,0.00
5,4.419417e-03,1293828,358.55,1.18e-04,0.00,0.00e+00,0.00,1.58e-03,0.09,3.74e-02,-0.00,0.00e+00,0.00
