refinement,h,n_dofs,wall_time,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,psi_L2,psi_L2_rate
3,1.767767e-02,31234,2.0943,1.0220e-09,0.00,5.30e-07,0.00,1.07e-09,0.00
4,8.838835e-03,123906,10.0603,1.2776e-10,3.00,1.32e-07,2.00,1.29e-10,3.05
5,4.419417e-03,493570,46.9187,1.5971e-11,3.00,3.31e-08,2.00,1.60e-11,3.01
6,2.209709e-03,1970178,222.0953,1.9963e-12,3.00,8.28e-09,2.00,2.00e-12,3.00
7,1.104854e-03,7872514,2092.3437,3.6595e-12,-0.87,2.09e-09,1.99,8.69e-11,-5.44
