refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,time
3,0.0125,0.000257666,0,0.00101027,0,0.000228996,0,0,0,0,0,0,0,0,0,29.2385
4,0.00625,0.000257665,3.77198e-06,0.00100823,0.0029133,0.000228287,0.00446855,0,0,0,0,0,0,0,0,123.083
