refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,time
3,0.0125,0.00348626,0,0.0136399,0,0.010036,0,11.0642
4,0.00625,0.00348626,2.55904e-07,0.0136397,1.5958e-05,0.010036,2.29984e-06,38.2315
