refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,time
2,0.0353553,0,0,0,0,0,0,8.18442e-09,0,2.11976e-06,0,3.64531e-05,0,0.00946004,0,64.213
3,0.0176777,0,0,0,0,0,0,1.02318e-09,2.99982,5.2991e-07,2.00008,4.58155e-06,2.99213,0.00236836,1.99796,260.309
4,0.00883883,0,0,0,0,0,0,1.2817e-10,2.99694,1.32481e-07,1.99996,5.80226e-07,2.98115,0.000593586,1.99636,1325.83
