refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,time
2,0.0353553,0,0,0,0,0,0,0,0,0,0,0.000238848,0,0.00996738,0,26.7834
3,0.0176777,0,0,0,0,0,0,0,0,0,0,0.000236163,0.0163117,0.0039323,1.34184,124.687
4,0.00883883,0,0,0,0,0,0,0,0,0,0,0.000236137,0.000159541,0.00319599,0.29911,506.049
