refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,time
3,0.0125,0.0368572,0,0.129796,0,0.00130487,0,7.22897
4,0.00625,0.0368572,-3.03735e-09,0.129796,1.78089e-07,0.00130475,0.00013719,34.8238
5,0.003125,0.0368572,-2.56641e-10,0.129796,1.10809e-08,0.00130474,8.57588e-06,152.146
6,0.0015625,0.0368572,-3.25797e-10,0.129796,3.95685e-10,0.00130474,5.36007e-07,790.817
