refinement,h,n_dofs,wall_time,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,p_L2,p_L2_rate,div_u_L2
3,1.250000e-02,35203,87.1074,4.5679e-06,0.0000,2.3669e-03,0.0000,1.8040e-04,0.0000,8.6518e-04
4,6.250000e-03,139523,238.1521,6.0774e-07,2.9100,5.9916e-04,1.9820,3.6443e-04,-1.0145,2.2946e-04
5,3.125000e-03,555523,1368.9154,8.7969e-08,2.7884,1.5524e-04,1.9484,1.8224e-04,0.9998,6.6350e-05
