refinement,h,n_dofs,wall_time,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,p_L2,p_L2_rate,div_u_L2
2,2.500000e-02,8963,3.4026,3.6450e-05,0.0000,9.4600e-03,0.0000,5.9760e-05,0.0000,3.4523e-03
3,1.250000e-02,35203,13.6142,4.5631e-06,2.9978,2.3665e-03,1.9991,1.3355e-05,2.1618,8.6434e-04
4,6.250000e-03,139523,47.5990,5.7061e-07,2.9995,5.9172e-04,1.9998,3.2921e-06,2.0203,2.1616e-04
5,3.125000e-03,555523,212.5460,7.1332e-08,2.9999,1.4793e-04,1.9999,8.2163e-07,2.0025,5.4046e-05
