refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,time
2,0.0353553,0.0633922,0,2.37459,0,7.43323e-05,0,0,0,0,0,0.000131833,0,0.00965721,0,4.1865
3,0.0176777,0.0646172,-0.0276144,3.40739,-0.520992,1.85859e-05,1.99979,0,0,0,0,0.000131774,0.000644728,0.00301447,1.6797,16.5032
4,0.00883883,0.0652274,-0.0135587,4.85347,-0.510347,4.64664e-06,1.99995,0,0,0,0,0.000133207,-0.0155957,0.00193466,0.639829,56.4515
