refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,time
3,0.0176777,0.0654299,0,3.41123,0,1.85859e-05,0,0,0,0,0,0.000137039,0,0.0030491,0,14.0214
4,0.00883883,0.0660326,-0.0132278,4.85619,-0.509535,4.64664e-06,1.99995,0,0,0,0,0.000138391,-0.0141627,0.00198656,0.618113,57.2739
