refinement,h,n_dofs,wall_time,M_L2,M_L2_rate
3,1.767767e-02,30720,19.0921,2.3649e-01,0.0000
4,8.838835e-03,122880,86.2144,2.3649e-01,-0.0000
5,4.419417e-03,491520,380.5409,2.3649e-01,-0.0000
