refinement,h,n_dofs,wall_time,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate
3,1.767767e-02,46337,1.4822,1.2775e-07,0.0000,6.6238e-05,0.0000,1.8586e-05,0.0000
4,8.838835e-03,184833,5.2880,1.5970e-08,2.9999,1.6560e-05,2.0000,4.6466e-06,1.9999
5,4.419417e-03,738305,17.0690,1.9963e-09,3.0000,4.1401e-06,2.0000,1.1617e-06,2.0000
6,2.209709e-03,2951169,74.1525,2.4962e-10,2.9995,1.0350e-06,2.0000,2.9042e-07,2.0000
