refinement,h,n_dofs,wall_time,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,p_L2,p_L2_rate,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate
2,3.535534e-02,31365,7.36,2.60e-06,0.00,3.58e-05,0.00,3.96e-05,0.00,9.46e-03,0.00,1.28e+02,0.00,3.06e-03,0.00,1.20e-02,0.00,8.80e-03,0.00
3,1.767767e-02,124165,27.74,2.59e-06,0.00,3.58e-05,0.00,1.71e-05,1.21,2.38e-03,1.99,1.10e+03,-3.10,3.22e-03,-0.08,1.26e-02,-0.08,9.28e-03,-0.08
4,8.838835e-03,494085,124.51,2.59e-06,0.00,3.57e-05,0.00,1.76e-05,-0.04,6.35e-04,1.90,3.35e+02,1.71,3.22e-03,-0.00,1.26e-02,-0.00,9.28e-03,0.00
