refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,time
3,0.0176777,0,0,0,0,0,0,60.2267
4,0.00883883,0,0,0,0,0,0,349.854
5,0.00441942,0,0,0,0,0,0,3245.87
