refinement,h,n_dofs,wall_time,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,p_L2,p_L2_rate,div_u_L2
3,1.250000e-02,35203,289.3786,4.5631e-06,0.0000,2.3665e-03,0.0000,1.3354e-05,0.0000,8.6434e-04
4,6.250000e-03,139523,1152.4607,5.7061e-07,2.9995,5.9172e-04,1.9998,3.2921e-06,2.0202,2.1616e-04
