refinement,h,n_dofs,wall_time,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,psi_L2,psi_L2_rate
3,1.767767e-02,31234,119.5462,1.0224e-09,0.00,5.30e-07,0.00,1.65e-09,0.00
4,8.838835e-03,123906,490.4798,1.2777e-10,3.00,1.32e-07,2.00,1.52e-10,3.44
