refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,time
3,0.0125,0.0368572,0,0.129796,0,0.00130487,0,7.04499
4,0.00625,0.0368572,-3.03705e-09,0.129796,1.78089e-07,0.00130475,0.00013719,32.8101
5,0.003125,0.0368572,-2.57556e-10,0.129796,1.108e-08,0.00130474,8.57588e-06,172.635
