refinement,h,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate,M_L2,M_L2_rate,time
3,0.0125,0.00045323,0,0.00177446,0,0.00130487,0,27.7821
4,0.00625,0.00045323,2.09752e-06,0.0017733,0.000943118,0.00130475,0.00013719,40.2574
5,0.003125,0.00045323,1.31532e-07,0.00177323,5.89915e-05,0.00130474,8.57588e-06,153.359
