refinement,h,n_dofs,wall_time,ux_L2,ux_L2_rate,ux_H1,ux_H1_rate,p_L2,p_L2_rate,div_u_L2
3,1.250000e-02,35203,32.5438,4.5742e-06,0.0000,2.3676e-03,0.0000,2.8165e-04,0.0000,8.6638e-04
4,6.250000e-03,139523,177.2173,6.1052e-07,2.9054,5.9916e-04,1.9824,3.6447e-04,-0.3719,2.2946e-04
5,3.125000e-03,555523,1672.9879,9.0965e-08,2.7467,1.5524e-04,1.9484,1.8225e-04,0.9998,6.6350e-05
6,1.562500e-03,2216963,15908.4749,1.9421e-08,2.2277,4.3839e-05,1.8242,9.1128e-05,1.0000,2.3516e-05
