refinement,h,n_dofs,wall_time,M_L2,M_L2_rate
3,1.767767e-02,30720,17.2208,1.8586e-05,0.0000
4,8.838835e-03,122880,77.6755,4.6466e-06,1.9999
5,4.419417e-03,491520,379.9634,1.1617e-06,2.0000
