# MMS Convergence Study: CH_NS_CAPILLARY
# Date: 2026-01-10 13:07:12
# MPI ranks: 1
# Total wall time: 0.00 s
# FE degree: 2
# Expected rates: L2=3.00, H1=2.00
#
refinement,h,n_dofs,wall_time,time_per_dof,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,p_L2,p_L2_rate
3,1.767767e-02,66437,76.2609,1.15e-03,4.86e-04,0.00,1.17e-02,0.00,4.58e-06,0.00,0.00e+00,0.00
4,8.838835e-03,263429,429.9790,1.63e-03,4.86e-04,0.00,1.17e-02,0.00,5.80e-07,2.98,0.00e+00,0.00
