refinement,h,n_dofs,wall_time,phi_L2,phi_L2_rate,phi_H1,phi_H1_rate
3,1.767767e-02,15617,0.0548,6.3875e-07,0.0000,3.3119e-04,0.0000
4,8.838835e-03,61953,0.2210,7.9851e-08,2.9999,8.2801e-05,2.0000
5,4.419417e-03,246785,0.8198,9.9816e-09,3.0000,2.0700e-05,2.0000
6,2.209709e-03,985089,3.5496,1.2481e-09,2.9995,5.1751e-06,2.0000
