refinement,h,n_dofs,wall_time,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,p_L2,p_L2_rate
3,1.767767e-02,66437,20.0246,1.0228e-09,0.0000,5.2991e-07,0.0000,4.5814e-06,0.0000,7.4341e-04,0.0000
4,8.838835e-03,263429,168.1572,1.2804e-10,2.9978,1.3248e-07,2.0000,5.8027e-07,2.9810,3.7104e-04,1.0026
5,4.419417e-03,1049093,1648.6232,1.6099e-11,2.9916,3.3120e-08,2.0000,7.6672e-08,2.9200,1.8251e-04,1.0236
