refinement,h,n_dofs,wall_time,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,ux_L2,ux_L2_rate,p_L2,p_L2_rate
3,1.767767e-02,66437,50.1367,2.5940e-06,0.0000,3.5755e-05,0.0000,4.5809e-06,0.0000,7.4680e-04,0.0000
4,8.838835e-03,263429,190.6815,2.5940e-06,-0.0000,3.5751e-05,0.0001,5.7976e-07,2.9821,3.7206e-04,1.0052
