refinement,h,n_dofs,wall_time,theta_L2,theta_L2_rate,theta_H1,theta_H1_rate,psi_L2,psi_L2_rate
3,1.767767e-02,31234,45.1324,1.0230e-09,0.00,5.30e-07,0.00,2.31e-09,0.00
4,8.838835e-03,123906,387.0814,1.2779e-10,3.00,1.32e-07,2.00,1.84e-10,3.64
5,4.419417e-03,493570,4168.5298,1.5972e-11,3.00,3.31e-08,2.00,1.80e-11,3.35
