step,time,message
0,1.000000e-03,"theta bounds violated: [-1.022357, 1.022503]"
1,2.000000e-03,"theta bounds violated: [-1.027240, 1.027182]"
1,2.000000e-03,"internal energy increasing: dE_internal/dt=39.349182"
2,3.000000e-03,"theta bounds violated: [-1.027699, 1.027849]"
2,3.000000e-03,"internal energy increasing: dE_internal/dt=26.242496"
3,4.000000e-03,"theta bounds violated: [-1.027105, 1.027229]"
3,4.000000e-03,"internal energy increasing: dE_internal/dt=18.643330"
4,5.000000e-03,"theta bounds violated: [-1.026165, 1.026191]"
4,5.000000e-03,"internal energy increasing: dE_internal/dt=13.989118"
5,6.000000e-03,"theta bounds violated: [-1.025087, 1.025002]"
5,6.000000e-03,"internal energy increasing: dE_internal/dt=10.923761"
6,7.000000e-03,"theta bounds violated: [-1.023949, 1.023949]"
6,7.000000e-03,"internal energy increasing: dE_internal/dt=8.784623"
7,8.000000e-03,"theta bounds violated: [-1.022828, 1.022870]"
7,8.000000e-03,"internal energy increasing: dE_internal/dt=7.224123"
8,9.000000e-03,"theta bounds violated: [-1.021857, 1.021819]"
8,9.000000e-03,"internal energy increasing: dE_internal/dt=6.045949"
9,1.000000e-02,"theta bounds violated: [-1.020859, 1.020905]"
9,1.000000e-02,"internal energy increasing: dE_internal/dt=5.132174"
10,1.100000e-02,"theta bounds violated: [-1.020013, 1.019981]"
10,1.100000e-02,"internal energy increasing: dE_internal/dt=4.407948"
11,1.200000e-02,"theta bounds violated: [-1.019150, 1.019194]"
11,1.200000e-02,"internal energy increasing: dE_internal/dt=3.823890"
12,1.300000e-02,"theta bounds violated: [-1.018418, 1.018405]"
12,1.300000e-02,"internal energy increasing: dE_internal/dt=3.346054"
13,1.400000e-02,"theta bounds violated: [-1.017680, 1.017705]"
13,1.400000e-02,"internal energy increasing: dE_internal/dt=2.950426"
14,1.500000e-02,"theta bounds violated: [-1.017031, 1.017035]"
14,1.500000e-02,"internal energy increasing: dE_internal/dt=2.619260"
15,1.600000e-02,"theta bounds violated: [-1.016407, 1.016400]"
15,1.600000e-02,"internal energy increasing: dE_internal/dt=2.339326"
16,1.700000e-02,"theta bounds violated: [-1.015813, 1.015830]"
16,1.700000e-02,"internal energy increasing: dE_internal/dt=2.100847"
17,1.800000e-02,"theta bounds violated: [-1.015283, 1.015271]"
17,1.800000e-02,"internal energy increasing: dE_internal/dt=1.895888"
18,1.900000e-02,"theta bounds violated: [-1.014763, 1.014768]"
18,1.900000e-02,"internal energy increasing: dE_internal/dt=1.718572"
19,2.000000e-02,"theta bounds violated: [-1.014282, 1.014297]"
19,2.000000e-02,"internal energy increasing: dE_internal/dt=1.564066"
20,2.100000e-02,"theta bounds violated: [-1.013837, 1.013839]"
20,2.100000e-02,"internal energy increasing: dE_internal/dt=1.428657"
21,2.200000e-02,"theta bounds violated: [-1.013403, 1.013439]"
21,2.200000e-02,"internal energy increasing: dE_internal/dt=1.309219"
22,2.300000e-02,"theta bounds violated: [-1.013000, 1.013056]"
22,2.300000e-02,"internal energy increasing: dE_internal/dt=1.203138"
23,2.400000e-02,"theta bounds violated: [-1.012626, 1.012692]"
23,2.400000e-02,"internal energy increasing: dE_internal/dt=1.108812"
24,2.500000e-02,"theta bounds violated: [-1.012261, 1.012373]"
24,2.500000e-02,"internal energy increasing: dE_internal/dt=1.024279"
25,2.600000e-02,"theta bounds violated: [-1.011914, 1.012066]"
25,2.600000e-02,"internal energy increasing: dE_internal/dt=0.948038"
26,2.700000e-02,"theta bounds violated: [-1.011597, 1.011785]"
26,2.700000e-02,"internal energy increasing: dE_internal/dt=0.879446"
