step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_total,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,1.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,0.000000e+00,0,0.000000e+00,1.332922e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,3.153354e-02,-4.788390e-08,4.788382e-08,-3.841794e-07,5.268025e-07,4.676698e-07,5.085884e-16,2.245609e-05,3.077269e-04,5.291080e-08,-1.793979e-02,1.582555e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.401167e+00,9.428638e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,2.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-1.305120e-06,0,0.000000e+00,1.323232e+00,-4.242156e-02,9.951744e-04,8.295396e-02,2.798757e-02,1.678894e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,8.936163e-01,-1.587367e-08,1.586554e-08,-1.438809e-07,9.520767e-08,1.163795e-07,4.763627e-17,5.818531e-06,8.647492e-05,1.316683e-08,-1.504591e-02,1.723165e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.387458e+00,9.445427e-01,1.678893e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,3.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-5.237080e-07,0,0.000000e+00,1.321950e+00,-8.484311e-02,1.990349e-03,1.659076e-01,5.597519e-02,6.715576e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,8.848260e-01,-7.000805e-08,6.997182e-08,-1.114161e-07,1.514299e-07,1.446937e-07,4.149074e-16,3.231859e-06,4.927047e-05,1.637022e-08,-1.278490e-02,1.782120e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.386880e+00,9.495794e-01,5.036681e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,4.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-3.073383e-07,0,0.000000e+00,1.323429e+00,-1.272647e-01,2.985523e-03,2.488612e-01,8.396281e-02,1.511005e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.727867e-01,-1.724097e-07,1.723248e-07,-1.400194e-07,2.937780e-07,2.953261e-07,2.522866e-15,2.165675e-06,3.320976e-05,3.341234e-08,-1.145051e-02,1.860158e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.389693e+00,9.579739e-01,8.394469e+00,0.000000e+00,0.000000e+00,0.000000e+00
4,5.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-2.081623e-07,0,0.000000e+00,1.341540e+00,-1.696862e-01,3.980698e-03,3.318148e-01,1.119504e-01,2.686230e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.817675e-01,-3.282441e-07,3.280918e-07,-2.145117e-07,5.218412e-07,5.285654e-07,9.277777e-15,1.598772e-06,2.594627e-05,5.980035e-08,-1.028955e-02,1.976602e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.388069e+00,9.697261e-01,1.175226e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,6.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-1.513222e-07,0,0.000000e+00,1.328688e+00,-2.121078e-01,4.975872e-03,4.147685e-01,1.399381e-01,4.197235e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.595782e-01,-5.401557e-07,5.399155e-07,-3.310727e-07,8.310132e-07,8.463031e-07,2.547777e-14,1.252516e-06,2.291508e-05,9.574826e-08,-9.271143e-03,2.141548e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.383258e+00,9.848362e-01,1.511005e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,7.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-1.149887e-07,0,0.000000e+00,1.324209e+00,-2.545293e-01,5.971047e-03,4.977221e-01,1.679257e-01,6.044018e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.531627e-01,-8.098660e-07,8.095149e-07,-4.896496e-07,1.219016e-06,1.244934e-06,5.797325e-14,1.024477e-06,2.387397e-05,1.408483e-07,-8.631931e-03,2.358425e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.440332e+00,1.003304e+00,1.846783e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,8.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-9.014367e-08,0,0.000000e+00,1.324749e+00,-2.969509e-01,6.966221e-03,5.806756e-01,1.959133e-01,8.226580e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,8.563350e-01,-1.138214e-06,1.137736e-06,-7.025354e-07,1.687697e-06,1.724630e-06,1.157526e-13,8.702465e-07,3.318875e-05,1.951196e-07,-8.147219e-03,2.628300e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.386223e+00,1.025130e+00,2.182562e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,9.000000e-03,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-7.223666e-08,0,0.000000e+00,1.334223e+00,-3.393724e-01,7.961396e-03,6.636292e-01,2.239009e-01,1.074492e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.471813e-01,-1.525574e-06,1.524952e-06,-9.590196e-07,2.236869e-06,2.287089e-06,2.099856e-13,7.690521e-07,4.391310e-05,2.587546e-07,-7.755926e-03,2.951367e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.455431e+00,1.050313e+00,2.518341e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,1.000000e-02,1.000000e-03,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-5.903322e-08,0,0.000000e+00,1.323365e+00,-3.817940e-01,8.956570e-03,7.465828e-01,2.518885e-01,1.359904e-01,1.000000e+00,1.500000e+00,0,0.000000e+00,8.440629e-01,-1.972410e-06,1.971617e-06,-1.259543e-06,2.864980e-06,2.931376e-06,3.540451e-13,7.109354e-07,5.606467e-05,3.316473e-07,-7.460568e-03,3.327493e-03,0.000000e+00,0.000000e+00,0.000000e+00,2.463979e+00,1.078854e+00,2.854120e+01,0.000000e+00,0.000000e+00,0.000000e+00
