step,time,E_CH,E_kin,E_mag,E_total,dE_total_dt
0,1.000000e-03,9.428638e-01,5.085884e-16,0.000000e+00,9.428638e-01,0.000000e+00
1,2.000000e-03,9.428638e-01,4.763627e-17,1.678894e-03,9.445427e-01,1.678893e+00
2,3.000000e-03,9.428638e-01,4.149074e-16,6.715576e-03,9.495794e-01,5.036681e+00
3,4.000000e-03,9.428638e-01,2.522866e-15,1.511005e-02,9.579739e-01,8.394469e+00
4,5.000000e-03,9.428638e-01,9.277777e-15,2.686230e-02,9.697261e-01,1.175226e+01
5,6.000000e-03,9.428638e-01,2.547777e-14,4.197235e-02,9.848362e-01,1.511005e+01
6,7.000000e-03,9.428638e-01,5.797325e-14,6.044018e-02,1.003304e+00,1.846783e+01
7,8.000000e-03,9.428638e-01,1.157526e-13,8.226580e-02,1.025130e+00,2.182562e+01
8,9.000000e-03,9.428638e-01,2.099856e-13,1.074492e-01,1.050313e+00,2.518341e+01
9,1.000000e-02,9.428638e-01,3.540451e-13,1.359904e-01,1.078854e+00,2.854120e+01
10,1.100000e-02,9.428638e-01,5.635157e-13,1.678894e-01,1.110753e+00,3.189898e+01
11,1.200000e-02,9.428638e-01,8.561949e-13,2.031462e-01,1.146010e+00,3.525677e+01
12,1.300000e-02,9.428638e-01,1.252089e-12,2.417607e-01,1.184625e+00,3.861456e+01
13,1.400000e-02,9.428638e-01,1.773404e-12,2.837331e-01,1.226597e+00,4.197235e+01
14,1.500000e-02,9.428638e-01,2.444536e-12,3.290632e-01,1.271927e+00,4.533014e+01
15,1.600000e-02,9.428638e-01,3.292063e-12,3.777511e-01,1.320615e+00,4.868792e+01
16,1.700000e-02,9.428638e-01,4.344724e-12,4.297968e-01,1.372661e+00,5.204571e+01
17,1.800000e-02,9.428638e-01,5.633410e-12,4.852003e-01,1.428064e+00,5.540350e+01
18,1.900000e-02,9.428638e-01,7.191150e-12,5.439616e-01,1.486825e+00,5.876129e+01
19,2.000000e-02,9.428638e-01,9.053087e-12,6.060807e-01,1.548945e+00,6.211908e+01
20,2.100000e-02,9.428638e-01,1.125647e-11,6.715576e-01,1.614421e+00,6.547686e+01
21,2.200000e-02,9.428638e-01,1.384062e-11,7.403922e-01,1.683256e+00,6.883465e+01
22,2.300000e-02,9.428638e-01,1.684693e-11,8.125847e-01,1.755448e+00,7.219244e+01
23,2.400000e-02,9.428638e-01,2.031882e-11,8.881349e-01,1.830999e+00,7.555023e+01
24,2.500000e-02,9.428638e-01,2.430174e-11,9.670429e-01,1.909907e+00,7.890802e+01
25,2.600000e-02,9.428638e-01,2.884311e-11,1.049309e+00,1.992173e+00,8.226580e+01
26,2.700000e-02,9.428638e-01,3.399234e-11,1.134932e+00,2.077796e+00,8.562359e+01
27,2.800000e-02,9.428638e-01,3.980075e-11,1.223914e+00,2.166777e+00,8.898138e+01
28,2.900000e-02,9.428638e-01,4.632157e-11,1.316253e+00,2.259117e+00,9.233917e+01
29,3.000000e-02,9.428638e-01,5.360992e-11,1.411950e+00,2.354814e+00,9.569695e+01
30,3.100000e-02,9.428638e-01,6.172273e-11,1.511005e+00,2.453868e+00,9.905474e+01
31,3.200000e-02,9.428638e-01,7.071875e-11,1.613417e+00,2.556281e+00,1.024125e+02
32,3.300000e-02,9.428638e-01,8.065848e-11,1.719187e+00,2.662051e+00,1.057703e+02
33,3.400000e-02,9.428638e-01,9.160412e-11,1.828316e+00,2.771179e+00,1.091281e+02
34,3.500000e-02,9.428638e-01,1.036196e-10,1.940801e+00,2.883665e+00,1.124859e+02
35,3.600000e-02,9.428638e-01,1.167704e-10,2.056645e+00,2.999509e+00,1.158437e+02
36,3.700000e-02,9.428638e-01,1.311237e-10,2.175847e+00,3.118710e+00,1.192015e+02
37,3.800000e-02,9.428638e-01,1.467480e-10,2.298406e+00,3.241270e+00,1.225593e+02
38,3.900000e-02,9.428638e-01,1.637135e-10,2.424323e+00,3.367187e+00,1.259170e+02
39,4.000000e-02,9.428638e-01,1.820918e-10,2.553598e+00,3.496461e+00,1.292748e+02
40,4.100000e-02,9.428638e-01,2.019556e-10,2.686230e+00,3.629094e+00,1.326326e+02
41,4.200000e-02,9.428638e-01,2.233791e-10,2.822221e+00,3.765085e+00,1.359904e+02
42,4.300000e-02,9.428638e-01,2.464378e-10,2.961569e+00,3.904433e+00,1.393482e+02
43,4.400000e-02,9.428638e-01,2.712081e-10,3.104275e+00,4.047139e+00,1.427060e+02
44,4.500000e-02,9.428638e-01,2.977678e-10,3.250339e+00,4.193202e+00,1.460638e+02
45,4.600000e-02,9.428638e-01,3.261955e-10,3.399760e+00,4.342624e+00,1.494216e+02
46,4.700000e-02,9.428638e-01,3.565707e-10,3.552540e+00,4.495403e+00,1.527793e+02
47,4.800000e-02,9.428638e-01,3.889740e-10,3.708677e+00,4.651541e+00,1.561371e+02
48,4.900000e-02,9.428638e-01,4.234865e-10,3.868172e+00,4.811035e+00,1.594949e+02
49,5.000000e-02,9.428638e-01,4.601901e-10,4.031024e+00,4.973888e+00,1.628527e+02
50,5.100000e-02,9.428638e-01,4.991674e-10,4.197235e+00,5.140099e+00,1.662105e+02
51,5.200000e-02,9.428638e-01,5.405013e-10,4.366803e+00,5.309667e+00,1.695683e+02
52,5.300000e-02,9.428638e-01,5.842753e-10,4.539729e+00,5.482593e+00,1.729261e+02
53,5.400000e-02,9.428638e-01,6.305732e-10,4.716013e+00,5.658877e+00,1.762839e+02
54,5.500000e-02,9.428638e-01,6.794787e-10,4.895655e+00,5.838519e+00,1.796416e+02
55,5.600000e-02,9.428638e-01,7.310761e-10,5.078654e+00,6.021518e+00,1.829994e+02
56,5.700000e-02,9.428638e-01,7.854493e-10,5.265011e+00,6.207875e+00,1.863572e+02
57,5.800000e-02,9.428638e-01,8.426823e-10,5.454726e+00,6.397590e+00,1.897150e+02
58,5.900000e-02,9.428638e-01,9.028590e-10,5.647799e+00,6.590663e+00,1.930728e+02
59,6.000000e-02,9.428638e-01,9.660626e-10,5.844230e+00,6.787094e+00,1.964306e+02
60,6.100000e-02,9.428638e-01,1.032376e-09,6.044018e+00,6.986882e+00,1.997884e+02
61,6.200000e-02,9.428638e-01,1.101882e-09,6.247164e+00,7.190028e+00,2.031462e+02
62,6.300000e-02,9.428638e-01,1.174662e-09,6.453668e+00,7.396532e+00,2.065040e+02
63,6.400000e-02,9.428638e-01,1.250797e-09,6.663530e+00,7.606394e+00,2.098617e+02
64,6.500000e-02,9.428638e-01,1.330367e-09,6.876750e+00,7.819613e+00,2.132195e+02
65,6.600000e-02,9.428638e-01,1.413451e-09,7.093327e+00,8.036191e+00,2.165773e+02
66,6.700000e-02,9.428638e-01,1.500127e-09,7.313262e+00,8.256126e+00,2.199351e+02
67,6.800000e-02,9.428638e-01,1.590471e-09,7.536555e+00,8.479419e+00,2.232929e+02
68,6.900000e-02,9.428638e-01,1.684557e-09,7.763206e+00,8.706069e+00,2.266507e+02
69,7.000000e-02,9.428638e-01,1.782461e-09,7.993214e+00,8.936078e+00,2.300085e+02
70,7.100000e-02,9.428638e-01,1.884253e-09,8.226580e+00,9.169444e+00,2.333663e+02
71,7.200000e-02,9.428638e-01,1.990002e-09,8.463304e+00,9.406168e+00,2.367240e+02
72,7.300000e-02,9.428638e-01,2.099778e-09,8.703386e+00,9.646250e+00,2.400818e+02
73,7.400000e-02,9.428638e-01,2.213646e-09,8.946826e+00,9.889690e+00,2.434396e+02
74,7.500000e-02,9.428638e-01,2.331669e-09,9.193623e+00,1.013649e+01,2.467974e+02
75,7.600000e-02,9.428638e-01,2.453908e-09,9.443778e+00,1.038664e+01,2.501552e+02
76,7.700000e-02,9.428638e-01,2.580423e-09,9.697291e+00,1.064016e+01,2.535130e+02
77,7.800000e-02,9.428638e-01,2.711268e-09,9.954162e+00,1.089703e+01,2.568708e+02
78,7.900000e-02,9.428638e-01,2.846498e-09,1.021439e+01,1.115725e+01,2.602285e+02
79,8.000000e-02,9.428638e-01,2.986162e-09,1.047798e+01,1.142084e+01,2.635863e+02
80,8.100000e-02,9.428638e-01,3.130307e-09,1.074492e+01,1.168778e+01,2.669441e+02
81,8.200000e-02,9.428638e-01,3.278978e-09,1.101522e+01,1.195809e+01,2.703019e+02
82,8.300000e-02,9.428638e-01,3.432216e-09,1.128888e+01,1.223175e+01,2.736597e+02
83,8.400000e-02,9.428638e-01,3.590057e-09,1.156590e+01,1.250876e+01,2.770175e+02
84,8.500000e-02,9.428638e-01,3.752534e-09,1.184628e+01,1.278914e+01,2.803753e+02
85,8.600000e-02,9.428638e-01,3.919679e-09,1.213001e+01,1.307287e+01,2.837331e+02
86,8.700000e-02,9.428638e-01,4.091517e-09,1.241710e+01,1.335996e+01,2.870908e+02
87,8.800000e-02,9.428638e-01,4.268069e-09,1.270755e+01,1.365041e+01,2.904486e+02
88,8.900000e-02,9.428638e-01,4.449355e-09,1.300135e+01,1.394422e+01,2.938064e+02
89,9.000000e-02,9.428638e-01,4.635388e-09,1.329852e+01,1.424138e+01,2.971642e+02
90,9.100000e-02,9.428638e-01,4.826178e-09,1.359904e+01,1.454190e+01,3.005220e+02
91,9.200000e-02,9.428638e-01,5.021729e-09,1.390292e+01,1.484578e+01,3.038798e+02
92,9.300000e-02,9.428638e-01,5.222043e-09,1.421016e+01,1.515302e+01,3.072376e+02
93,9.400000e-02,9.428638e-01,5.427116e-09,1.452075e+01,1.546362e+01,3.105954e+02
94,9.500000e-02,9.428638e-01,5.636938e-09,1.483471e+01,1.577757e+01,3.139531e+02
95,9.600000e-02,9.428638e-01,5.851497e-09,1.515202e+01,1.609488e+01,3.173109e+02
96,9.700000e-02,9.428638e-01,6.070775e-09,1.547269e+01,1.641555e+01,3.206687e+02
97,9.800000e-02,9.428638e-01,6.294747e-09,1.579671e+01,1.673958e+01,3.240265e+02
98,9.900000e-02,9.428638e-01,6.523386e-09,1.612410e+01,1.706696e+01,3.273843e+02
99,1.000000e-01,9.428638e-01,6.756658e-09,1.645484e+01,1.739770e+01,3.307421e+02
100,1.010000e-01,9.428638e-01,6.994526e-09,1.678894e+01,1.773180e+01,3.340999e+02
101,1.020000e-01,9.428638e-01,7.236945e-09,1.712640e+01,1.806926e+01,3.374576e+02
102,1.030000e-01,9.428638e-01,7.483866e-09,1.746721e+01,1.841008e+01,3.408154e+02
103,1.040000e-01,9.428638e-01,7.735235e-09,1.781139e+01,1.875425e+01,3.441732e+02
104,1.050000e-01,9.428638e-01,7.990993e-09,1.815892e+01,1.910178e+01,3.475310e+02
105,1.060000e-01,9.428638e-01,8.251074e-09,1.850980e+01,1.945267e+01,3.508888e+02
106,1.070000e-01,9.428638e-01,8.515408e-09,1.886405e+01,1.980692e+01,3.542466e+02
107,1.080000e-01,9.428638e-01,8.783920e-09,1.922166e+01,2.016452e+01,3.576044e+02
108,1.090000e-01,9.428638e-01,9.056529e-09,1.958262e+01,2.052548e+01,3.609621e+02
109,1.100000e-01,9.428638e-01,9.333148e-09,1.994694e+01,2.088980e+01,3.643199e+02
110,1.110000e-01,9.428638e-01,9.613684e-09,2.031462e+01,2.125748e+01,3.676777e+02
111,1.120000e-01,9.428638e-01,9.898042e-09,2.068565e+01,2.162851e+01,3.710355e+02
112,1.130000e-01,9.428638e-01,1.018612e-08,2.106004e+01,2.200291e+01,3.743933e+02
113,1.140000e-01,9.428638e-01,1.047781e-08,2.143780e+01,2.238066e+01,3.777511e+02
114,1.150000e-01,9.428638e-01,1.077299e-08,2.181890e+01,2.276177e+01,3.811088e+02
115,1.160000e-01,9.428638e-01,1.107155e-08,2.220337e+01,2.314623e+01,3.844666e+02
116,1.170000e-01,9.428638e-01,1.137337e-08,2.259120e+01,2.353406e+01,3.878244e+02
117,1.180000e-01,9.428638e-01,1.167832e-08,2.298238e+01,2.392524e+01,3.911822e+02
118,1.190000e-01,9.428638e-01,1.198626e-08,2.337692e+01,2.431978e+01,3.945400e+02
119,1.200000e-01,9.428638e-01,1.229706e-08,2.377482e+01,2.471768e+01,3.978978e+02
120,1.210000e-01,9.428638e-01,1.261057e-08,2.417607e+01,2.511893e+01,4.012555e+02
