step,time,dt,theta_min,theta_max,mass,E_CH,dE_CH_dt,ch_iterations,ch_residual,ch_time,phi_min,phi_max,H_max,M_max,E_mag,mu_min,mu_max,poisson_iterations,poisson_residual,poisson_time,ux_min,ux_max,uy_min,uy_max,U_max,E_kin,divU_L2,divU_Linf,CFL,p_min,p_max,F_cap_max,F_mag_max,F_grav_max,ns_time,E_internal,E_total,dE_internal_dt,dE_total_dt,interface_y_min,interface_y_max,interface_y_mean
0,5.000000e-04,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,0.000000e+00,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-8.704705e-08,8.704703e-08,-6.486691e-07,9.983690e-07,8.760502e-07,1.728327e-15,4.120249e-05,5.689994e-04,4.955688e-08,-2.561966e-02,1.702599e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.428638e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,1.000000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-2.810739e-06,0,0.000000e+00,0.000000e+00,-2.186495e-02,5.338441e-04,4.177786e-02,1.552315e-02,4.492559e-04,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.361574e-08,2.361597e-08,-2.569793e-07,1.927445e-07,2.259577e-07,1.187265e-16,1.166676e-05,1.560336e-04,1.278210e-08,-1.916568e-02,1.875249e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.433131e-01,-2.810742e-06,8.985091e-01,0.000000e+00,0.000000e+00,0.000000e+00
2,1.500000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-1.123449e-06,0,0.000000e+00,0.000000e+00,-4.299437e-02,1.027227e-03,8.370155e-02,2.919819e-02,1.728913e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.042162e-08,2.510479e-08,-1.756650e-07,1.239411e-07,1.421496e-07,6.335793e-17,6.989813e-06,9.284355e-05,8.041198e-09,-1.767400e-02,2.049215e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.445927e-01,-1.123449e-06,2.559314e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,2.000000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-6.681855e-07,0,0.000000e+00,0.000000e+00,-6.421586e-02,1.525339e-03,1.256176e-01,4.318522e-02,3.853286e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-5.143335e-08,6.142249e-08,-1.716720e-07,3.005776e-07,2.628518e-07,2.209833e-16,8.161267e-06,1.407863e-04,1.486914e-08,-1.607445e-02,2.296598e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.467171e-01,-6.681853e-07,4.248744e+00,0.000000e+00,0.000000e+00,0.000000e+00
4,2.500000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-4.692953e-07,0,0.000000e+00,0.000000e+00,-8.542584e-02,2.022865e-03,1.675345e-01,5.714707e-02,6.816007e-03,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-9.970634e-08,1.139840e-07,-2.146216e-07,5.594910e-07,4.769727e-07,8.051957e-16,1.325365e-05,2.446095e-04,2.698165e-08,-1.536579e-02,2.653795e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.496798e-01,-4.692942e-07,5.925441e+00,0.000000e+00,0.000000e+00,0.000000e+00
5,3.000000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-3.571630e-07,0,0.000000e+00,0.000000e+00,-1.066373e-01,2.520463e-03,2.094512e-01,7.111208e-02,1.061842e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-1.669725e-07,1.826044e-07,-2.928177e-07,9.013504e-07,7.630287e-07,2.287100e-15,2.072524e-05,3.823897e-04,4.316342e-08,-1.553891e-02,3.122856e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.534822e-01,-3.571599e-07,7.604822e+00,0.000000e+00,0.000000e+00,0.000000e+00
6,3.500000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-2.844314e-07,0,0.000000e+00,0.000000e+00,-1.278485e-01,3.018053e-03,2.513679e-01,8.507669e-02,1.526028e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-2.544853e-07,2.673110e-07,-4.019483e-07,1.327659e-06,1.121373e-06,5.397204e-15,3.014869e-05,5.534490e-04,6.343442e-08,-1.594356e-02,3.712507e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.581241e-01,-2.844252e-07,9.283730e+00,0.000000e+00,0.000000e+00,0.000000e+00
7,4.000000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-2.334737e-07,0,0.000000e+00,0.000000e+00,-1.490598e-01,3.515644e-03,2.932847e-01,9.904136e-02,2.074164e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-3.631626e-07,3.680940e-07,-5.404025e-07,1.838501e-06,1.552337e-06,1.115376e-14,4.142131e-05,7.574451e-04,8.781344e-08,-1.664674e-02,4.421433e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.636055e-01,-2.334624e-07,1.096271e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,4.500000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-1.951752e-07,0,0.000000e+00,0.000000e+00,-1.702710e-01,4.013234e-03,3.352014e-01,1.130060e-01,2.706248e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-4.939921e-07,4.989787e-07,-7.076666e-07,2.434247e-06,2.056683e-06,2.088807e-14,5.451376e-05,9.942130e-04,1.163435e-07,-1.766673e-02,5.253274e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.699263e-01,-1.951557e-07,1.264169e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,5.000000e-03,5.000000e-04,-1.000000e+00,1.000000e+00,-2.000000e-01,9.428638e-01,-1.660718e-07,0,0.000000e+00,0.000000e+00,-1.914823e-01,4.510825e-03,3.771182e-01,1.269707e-01,3.422281e-02,1.000000e+00,1.500000e+00,0,0.000000e+00,0.000000e+00,-6.473865e-07,6.538881e-07,-9.036768e-07,3.116625e-06,2.634141e-06,3.626441e-14,6.941582e-05,1.263662e-03,1.490095e-07,-1.900444e-02,6.205456e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.428638e-01,9.770866e-01,-1.660410e-07,1.432066e+01,0.000000e+00,0.000000e+00,0.000000e+00
