step,time,message
95,4.800000e-02,"theta bounds violated: [-1.000001, 1.003083]"
96,4.850000e-02,"theta bounds violated: [-1.000001, 1.003090]"
97,4.900000e-02,"theta bounds violated: [-1.000001, 1.003097]"
98,4.950000e-02,"theta bounds violated: [-1.000001, 1.003104]"
99,5.000000e-02,"theta bounds violated: [-1.000001, 1.003111]"
100,5.050000e-02,"theta bounds violated: [-1.000001, 1.003118]"
101,5.100000e-02,"theta bounds violated: [-1.000001, 1.003124]"
102,5.150000e-02,"theta bounds violated: [-1.000001, 1.003131]"
103,5.200000e-02,"theta bounds violated: [-1.000001, 1.003137]"
104,5.250000e-02,"theta bounds violated: [-1.000001, 1.003144]"
105,5.300000e-02,"theta bounds violated: [-1.000001, 1.003150]"
106,5.350000e-02,"theta bounds violated: [-1.000001, 1.003157]"
107,5.400000e-02,"theta bounds violated: [-1.000001, 1.003163]"
108,5.450000e-02,"theta bounds violated: [-1.000001, 1.003169]"
109,5.500000e-02,"theta bounds violated: [-1.000001, 1.003175]"
110,5.550000e-02,"theta bounds violated: [-1.000001, 1.003181]"
111,5.600000e-02,"theta bounds violated: [-1.000001, 1.003187]"
112,5.650000e-02,"theta bounds violated: [-1.000001, 1.003194]"
113,5.700000e-02,"theta bounds violated: [-1.000001, 1.003200]"
114,5.750000e-02,"theta bounds violated: [-1.000001, 1.003205]"
115,5.800000e-02,"theta bounds violated: [-1.000001, 1.003211]"
116,5.850000e-02,"theta bounds violated: [-1.000001, 1.003217]"
117,5.900000e-02,"theta bounds violated: [-1.000001, 1.003223]"
118,5.950000e-02,"theta bounds violated: [-1.000001, 1.003229]"
119,6.000000e-02,"theta bounds violated: [-1.000001, 1.003234]"
120,6.050000e-02,"theta bounds violated: [-1.000001, 1.003240]"
121,6.100000e-02,"theta bounds violated: [-1.000001, 1.003246]"
122,6.150000e-02,"theta bounds violated: [-1.000001, 1.003251]"
123,6.200000e-02,"theta bounds violated: [-1.000002, 1.003257]"
124,6.250000e-02,"theta bounds violated: [-1.000002, 1.003262]"
125,6.300000e-02,"theta bounds violated: [-1.000002, 1.003268]"
126,6.350000e-02,"theta bounds violated: [-1.000002, 1.003273]"
127,6.400000e-02,"theta bounds violated: [-1.000002, 1.003279]"
128,6.450000e-02,"theta bounds violated: [-1.000002, 1.003284]"
129,6.500000e-02,"theta bounds violated: [-1.000002, 1.003289]"
130,6.550000e-02,"theta bounds violated: [-1.000002, 1.003295]"
131,6.600000e-02,"theta bounds violated: [-1.000002, 1.003300]"
132,6.650000e-02,"theta bounds violated: [-1.000002, 1.003305]"
133,6.700000e-02,"theta bounds violated: [-1.000002, 1.003310]"
134,6.750000e-02,"theta bounds violated: [-1.000002, 1.003315]"
135,6.800000e-02,"theta bounds violated: [-1.000002, 1.003320]"
136,6.850000e-02,"theta bounds violated: [-1.000002, 1.003326]"
137,6.900000e-02,"theta bounds violated: [-1.000002, 1.003331]"
138,6.950000e-02,"theta bounds violated: [-1.000002, 1.003336]"
139,7.000000e-02,"theta bounds violated: [-1.000002, 1.003341]"
140,7.050000e-02,"theta bounds violated: [-1.000002, 1.003345]"
141,7.100000e-02,"theta bounds violated: [-1.000002, 1.003350]"
142,7.150000e-02,"theta bounds violated: [-1.000002, 1.003355]"
143,7.200000e-02,"theta bounds violated: [-1.000002, 1.003360]"
144,7.250000e-02,"theta bounds violated: [-1.000002, 1.003365]"
145,7.300000e-02,"theta bounds violated: [-1.000002, 1.003370]"
146,7.350000e-02,"theta bounds violated: [-1.000002, 1.003374]"
147,7.400000e-02,"theta bounds violated: [-1.000002, 1.003379]"
148,7.450000e-02,"theta bounds violated: [-1.000002, 1.003384]"
149,7.500000e-02,"theta bounds violated: [-1.000002, 1.003389]"
150,7.550000e-02,"theta bounds violated: [-1.000002, 1.003393]"
151,7.600000e-02,"theta bounds violated: [-1.000002, 1.003398]"
152,7.650000e-02,"theta bounds violated: [-1.000002, 1.003402]"
153,7.700000e-02,"theta bounds violated: [-1.000002, 1.003407]"
154,7.750000e-02,"theta bounds violated: [-1.000002, 1.003411]"
155,7.800000e-02,"theta bounds violated: [-1.000003, 1.003416]"
156,7.850000e-02,"theta bounds violated: [-1.000003, 1.003420]"
157,7.900000e-02,"theta bounds violated: [-1.000003, 1.003425]"
158,7.950000e-02,"theta bounds violated: [-1.000003, 1.003429]"
159,8.000000e-02,"theta bounds violated: [-1.000003, 1.003434]"
160,8.050000e-02,"theta bounds violated: [-1.000003, 1.003438]"
161,8.100000e-02,"theta bounds violated: [-1.000003, 1.003442]"
162,8.150000e-02,"theta bounds violated: [-1.000003, 1.003447]"
163,8.200000e-02,"theta bounds violated: [-1.000003, 1.003451]"
164,8.250000e-02,"theta bounds violated: [-1.000003, 1.003455]"
165,8.300000e-02,"theta bounds violated: [-1.000003, 1.003460]"
166,8.350000e-02,"theta bounds violated: [-1.000003, 1.003464]"
167,8.400000e-02,"theta bounds violated: [-1.000003, 1.003468]"
168,8.450000e-02,"theta bounds violated: [-1.000003, 1.003472]"
169,8.500000e-02,"theta bounds violated: [-1.000003, 1.003477]"
170,8.550000e-02,"theta bounds violated: [-1.000003, 1.003481]"
171,8.600000e-02,"theta bounds violated: [-1.000003, 1.003485]"
172,8.650000e-02,"theta bounds violated: [-1.000003, 1.003489]"
173,8.700000e-02,"theta bounds violated: [-1.000004, 1.003493]"
174,8.750000e-02,"theta bounds violated: [-1.000004, 1.003497]"
175,8.800000e-02,"theta bounds violated: [-1.000004, 1.003501]"
176,8.850000e-02,"theta bounds violated: [-1.000004, 1.003505]"
177,8.900000e-02,"theta bounds violated: [-1.000004, 1.003509]"
178,8.950000e-02,"theta bounds violated: [-1.000004, 1.003513]"
179,9.000000e-02,"theta bounds violated: [-1.000004, 1.003517]"
180,9.050000e-02,"theta bounds violated: [-1.000004, 1.003521]"
181,9.100000e-02,"theta bounds violated: [-1.000004, 1.003525]"
182,9.150000e-02,"theta bounds violated: [-1.000004, 1.003529]"
183,9.200000e-02,"theta bounds violated: [-1.000004, 1.003533]"
184,9.250000e-02,"theta bounds violated: [-1.000004, 1.003537]"
185,9.300000e-02,"theta bounds violated: [-1.000004, 1.003541]"
186,9.350000e-02,"theta bounds violated: [-1.000004, 1.003545]"
187,9.400000e-02,"theta bounds violated: [-1.000005, 1.003548]"
188,9.450000e-02,"theta bounds violated: [-1.000005, 1.003552]"
189,9.500000e-02,"theta bounds violated: [-1.000005, 1.003556]"
190,9.550000e-02,"theta bounds violated: [-1.000005, 1.003560]"
191,9.600000e-02,"theta bounds violated: [-1.000005, 1.003564]"
192,9.650000e-02,"theta bounds violated: [-1.000005, 1.003567]"
193,9.700000e-02,"theta bounds violated: [-1.000005, 1.003571]"
194,9.750000e-02,"theta bounds violated: [-1.000005, 1.003575]"
195,9.800000e-02,"theta bounds violated: [-1.000005, 1.003579]"
196,9.850000e-02,"theta bounds violated: [-1.000005, 1.003582]"
