step,time,E_CH,E_kin,E_mag,E_internal,E_total,dE_internal_dt,dE_total_dt
47,2.400000e-02,9.428640e-01,2.518362e-08,9.246437e-01,9.428640e-01,1.867508e+00,8.879665e-06,7.780934e+01
48,2.450000e-02,9.428640e-01,2.521207e-08,9.643845e-01,9.428640e-01,1.907249e+00,8.896606e-06,7.948164e+01
49,2.500000e-02,9.428640e-01,2.524385e-08,1.004961e+00,9.428640e-01,1.947825e+00,8.913813e-06,8.115394e+01
50,2.550000e-02,9.428640e-01,2.527913e-08,1.046375e+00,9.428640e-01,1.989239e+00,8.931087e-06,8.282623e+01
51,2.600000e-02,9.428640e-01,2.531810e-08,1.088624e+00,9.428641e-01,2.031488e+00,8.948649e-06,8.449853e+01
52,2.650000e-02,9.428640e-01,2.536093e-08,1.131709e+00,9.428641e-01,2.074573e+00,8.966375e-06,8.617082e+01
53,2.700000e-02,9.428640e-01,2.540783e-08,1.175631e+00,9.428641e-01,2.118495e+00,8.984310e-06,8.784312e+01
54,2.750000e-02,9.428640e-01,2.545899e-08,1.220388e+00,9.428641e-01,2.163253e+00,9.002455e-06,8.951541e+01
55,2.800000e-02,9.428640e-01,2.551461e-08,1.265982e+00,9.428641e-01,2.208846e+00,9.020941e-06,9.118771e+01
56,2.850000e-02,9.428641e-01,2.557489e-08,1.312412e+00,9.428641e-01,2.255276e+00,9.039755e-06,9.286001e+01
57,2.900000e-02,9.428641e-01,2.564003e-08,1.359678e+00,9.428641e-01,2.302543e+00,9.058684e-06,9.453230e+01
58,2.950000e-02,9.428641e-01,2.571026e-08,1.407781e+00,9.428641e-01,2.350645e+00,9.078061e-06,9.620460e+01
59,3.000000e-02,9.428641e-01,2.578578e-08,1.456719e+00,9.428641e-01,2.399583e+00,9.097730e-06,9.787689e+01
60,3.050000e-02,9.428641e-01,2.586681e-08,1.506494e+00,9.428641e-01,2.449358e+00,9.117665e-06,9.954919e+01
61,3.100000e-02,9.428641e-01,2.595358e-08,1.557105e+00,9.428641e-01,2.499969e+00,9.137930e-06,1.012215e+02
62,3.150000e-02,9.428641e-01,2.604631e-08,1.608551e+00,9.428641e-01,2.551416e+00,9.158690e-06,1.028938e+02
