step,time,message
0,5.000000e-04,"theta bounds violated: [-1.000001, 1.002665]"
0,5.000000e-04,"divU large: L2=0.112770, Linf=13.688583"
1,1.000000e-03,"theta bounds violated: [-1.000001, 1.003763]"
1,1.000000e-03,"divU large: L2=0.112800, Linf=13.701190"
1,1.000000e-03,"internal energy increasing: dE_internal/dt=0.000120"
2,1.500000e-03,"theta bounds violated: [-1.000001, 1.004472]"
2,1.500000e-03,"divU large: L2=0.112508, Linf=13.668028"
2,1.500000e-03,"internal energy increasing: dE_internal/dt=0.000169"
3,2.000000e-03,"theta bounds violated: [-1.000001, 1.005004]"
3,2.000000e-03,"divU large: L2=0.112323, Linf=13.646423"
3,2.000000e-03,"internal energy increasing: dE_internal/dt=0.000149"
4,2.500000e-03,"theta bounds violated: [-1.000001, 1.005434]"
4,2.500000e-03,"divU large: L2=0.112188, Linf=13.630471"
4,2.500000e-03,"internal energy increasing: dE_internal/dt=0.000138"
5,3.000000e-03,"theta bounds violated: [-1.000001, 1.170639]"
5,3.000000e-03,"divU large: L2=0.228993, Linf=24.653000"
5,3.000000e-03,"internal energy increasing: dE_internal/dt=60.142583"
6,3.500000e-03,"theta bounds violated: [-1.000001, 1.143304]"
6,3.500000e-03,"divU large: L2=0.273567, Linf=39.387632"
6,3.500000e-03,"internal energy increasing: dE_internal/dt=1.751844"
7,4.000000e-03,"theta bounds violated: [-1.000002, 1.073009]"
7,4.000000e-03,"divU large: L2=0.293054, Linf=44.238394"
8,4.500000e-03,"theta bounds violated: [-1.000002, 1.041159]"
8,4.500000e-03,"divU large: L2=0.305023, Linf=46.737396"
9,5.000000e-03,"theta bounds violated: [-1.000003, 1.037962]"
9,5.000000e-03,"divU large: L2=0.313034, Linf=48.305435"
